WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="15D", group="280", value="     1"
WARNING (002788): XRECORD object group 90 unknown/not supported - ignored.
WARNING (002938): XRECORD object group 290 unknown/not supported - ignored.
WARNING (008456): XRECORD object group 1 unknown/not supported - ignored.
WARNING (008460): XRECORD object group 90 unknown/not supported - ignored.
WARNING (008564): XRECORD object group 148 unknown/not supported - ignored.
WARNING (008566): XRECORD object group 149 unknown/not supported - ignored.
WARNING (008568): XRECORD object group 149 unknown/not supported - ignored.
WARNING (008570): XRECORD object group 93 unknown/not supported - ignored.
WARNING (008572): XRECORD object group 94 unknown/not supported - ignored.
WARNING (008574): XRECORD object group 282 unknown/not supported - ignored.
WARNING (008576): XRECORD object group 72 unknown/not supported - ignored.
WARNING (008578): XRECORD object group 77 unknown/not supported - ignored.
WARNING (008580): XRECORD object group 171 unknown/not supported - ignored.
WARNING (008582): XRECORD object group 175 unknown/not supported - ignored.
WARNING (008584): XRECORD object group 179 unknown/not supported - ignored.
WARNING (008586): XRECORD object group 273 unknown/not supported - ignored.
WARNING (008624): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008626): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008664): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008666): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008704): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008706): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008766): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008768): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008806): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008808): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008846): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008848): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008888): XRECORD object group 148 unknown/not supported - ignored.
WARNING (008890): XRECORD object group 149 unknown/not supported - ignored.
WARNING (008892): XRECORD object group 149 unknown/not supported - ignored.
WARNING (008894): XRECORD object group 93 unknown/not supported - ignored.
WARNING (008896): XRECORD object group 94 unknown/not supported - ignored.
WARNING (008898): XRECORD object group 282 unknown/not supported - ignored.
WARNING (008900): XRECORD object group 72 unknown/not supported - ignored.
WARNING (008902): XRECORD object group 77 unknown/not supported - ignored.
WARNING (008904): XRECORD object group 171 unknown/not supported - ignored.
WARNING (008906): XRECORD object group 175 unknown/not supported - ignored.
WARNING (008908): XRECORD object group 179 unknown/not supported - ignored.
WARNING (008910): XRECORD object group 273 unknown/not supported - ignored.
WARNING (008948): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008950): XRECORD object group 271 unknown/not supported - ignored.
WARNING (008988): XRECORD object group 270 unknown/not supported - ignored.
WARNING (008990): XRECORD object group 271 unknown/not supported - ignored.
WARNING (009028): XRECORD object group 270 unknown/not supported - ignored.
WARNING (009030): XRECORD object group 271 unknown/not supported - ignored.
WARNING (009070): XRECORD object group 1 unknown/not supported - ignored.
WARNING (009074): XRECORD object group 90 unknown/not supported - ignored.
WARNING (009740): XRECORD object group 90 unknown/not supported - ignored.
WARNING (009742): XRECORD object group 91 unknown/not supported - ignored.
