Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	73,8	0	0
1	73,9	1	0
2	73,9	2	0
3	73,9	3	0
4	73,9	4	0
5	73,9	5	0
6	73,9	6	0
7	73,9	7	0
8	73,9	8	0
9	73,9	9	0
10	73,9	10	0
11	73,9	11	0
12	73,9	12	0
13	73,9	13	0
14	73,9	14	0
15	73,9	15	0
16	73,9	16	0
17	73,9	17	0
18	73,9	18	0
19	73,9	19	0
20	73,9	20	0
21	73,9	21	0
22	73,9	22	0
23	73,9	23	0
24	73,9	24	0
25	73,9	25	0
26	73,9	26	0
27	74	27	0
28	74	28	0
29	74	29	0
30	74,1	30	0
31	74,3	31	0
32	74,4	32	0
33	74,5	33	0
34	74,5	34	0
35	74,6	35	0
36	74,8	36	0
37	75	37	0
38	75	38	0
39	75,1	39	0
40	75,3	40	0
41	75,4	41	0
42	75,4	42	0
43	75,5	43	0
44	75,5	44	0
45	75,5	45	0
46	75,6	46	0
47	75,6	47	0
48	75,6	48	0
49	75,6	49	0
50	75,6	50	0
51	75,6	51	0
52	75,6	52	0
53	75,6	53	0
54	75,8	54	0
55	75,8	55	0
56	75,8	56	0
57	75,8	57	0
58	75,8	58	0
59	75,8	59	0
60	75,8	60	0
61	75,8	61	0
62	75,8	62	0
63	75,9	63	0
64	75,8	64	0
65	75,8	65	0
66	75,9	66	0
67	75,9	67	0
68	75,9	68	0
69	75,9	69	0
70	75,9	70	0
71	75,9	71	0
72	75,9	72	0
73	75,9	73	0
74	75,9	74	0
75	75,9	75	0
76	75,9	76	0
77	75,9	77	0
78	75,9	78	0
79	75,9	79	0
80	75,9	80	0
81	75,9	81	0
82	75,9	82	0
83	75,9	83	0
84	75,9	84	0
85	75,9	85	0
86	75,9	86	0
87	75,9	87	0
88	75,9	88	0
89	75,9	89	0
90	75,9	90	0
91	75,9	91	0
92	75,9	92	0
93	75,9	93	0
94	75,9	94	0
95	75,9	95	0
96	75,9	96	0
97	75,9	97	0
98	75,9	98	0
99	75,9	99	0
100	75,9	100	0
101	75,9	101	0
102	75,8	102	0
103	75,8	103	0
