Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	43,7	0	0
1	41,7	1	0
2	41,7	2	0
3	41,7	3	0
4	41,7	4	0
5	41,7	5	0
6	41,7	6	0
7	41,7	7	0
8	41,7	8	0
9	41,7	9	0
10	41,7	10	0
11	41,7	11	0
12	41,7	12	0
13	41,7	13	0
14	41,7	14	0
15	41,7	15	0
16	41,7	16	0
17	41,7	17	0
18	41,7	18	0
19	41,7	19	0
20	41,7	20	0
21	41,7	21	0
22	41,7	22	0
23	41,7	23	0
24	41,7	24	0
25	41,7	25	0
26	41,7	26	0
27	41,7	27	0
28	41,5	28	0
29	41,5	29	0
30	41,5	30	0
31	41,5	31	0
32	41,5	32	0
33	41,5	33	0
34	41,5	34	0
35	41,5	35	0
36	41,5	36	0
37	41,5	37	0
38	41,5	38	0
39	41,5	39	0
40	41,5	40	0
41	41,5	41	0
42	41,5	42	0
43	41,5	43	0
44	41,5	44	0
45	41,5	45	0
46	41,5	46	0
47	41,5	47	0
48	41,5	48	0
49	41,5	49	0
50	41,5	50	0
51	41,5	51	0
52	41,5	52	0
53	41,5	53	0
54	41,5	54	0
55	41,5	55	0
56	41,5	56	0
57	41,5	57	0
58	41,5	58	0
59	41,5	59	0
60	41,5	60	0
61	41,5	61	0
62	41,5	62	0
63	41,5	63	0
64	41,5	64	0
65	41,5	65	0
66	41,5	66	0
67	41,5	67	0
68	41,5	68	0
69	41,5	69	0
70	41,5	70	0
71	41,5	71	0
72	41,5	72	0
73	41,5	73	0
74	41,5	74	0
75	41,5	75	0
76	41,5	76	0
77	41,5	77	0
78	41,5	78	0
79	41,5	79	0
80	41,5	80	0
81	41,5	81	0
82	41,5	82	0
83	41,5	83	0
84	41,4	84	0
85	41,4	85	0
86	41,4	86	0
87	41,4	87	0
88	41,4	88	0
89	41,4	89	0
90	41,4	90	0
91	41,4	91	0
92	41,4	92	0
93	41,4	93	0
94	41,4	94	0
95	41,4	95	0
96	41,4	96	0
97	41,4	97	0
98	41,4	98	0
99	41,4	99	0
100	41,4	100	0
101	41,4	101	0
102	41,4	102	0
103	41,4	103	0
104	41,4	104	0
105	41,4	105	0
106	41,4	106	0
107	41,4	107	0
108	41,4	108	0
109	41,4	109	0
110	41,4	110	0
111	41,4	111	0
112	41,4	112	0
113	41,4	113	0
114	41,4	114	0
115	41,4	115	0
116	41,4	116	0
117	41,4	117	0
118	41,4	118	0
119	41,4	119	0
120	41,4	120	0
121	41,4	121	0
122	41,4	122	0
123	41,4	123	0
124	41,4	124	0
125	41,2	125	0
126	41,4	126	0
127	41,4	127	0
128	41,4	128	0
129	41,4	129	0
130	41,4	130	0
131	41,4	131	0
132	41,4	132	0
133	41,4	133	0
134	41,4	134	0
135	41,4	135	0
136	41,4	136	0
137	41,2	137	0
138	41,2	138	0
139	41,2	139	0
140	41,2	140	0
141	41,2	141	0
142	41,2	142	0
143	41,2	143	0
144	41,2	144	0
145	41,2	145	0
146	41,2	146	0
147	41,2	147	0
148	41,2	148	0
149	41,2	149	0
150	41,2	150	0
151	41,2	151	0
152	41,2	152	0
153	41,2	153	0
154	41,2	154	0
155	41,2	155	0
156	41,2	156	0
157	41,2	157	0
158	41,2	158	0
159	41,2	159	0
160	41,2	160	0
161	41,2	161	0
162	41,2	162	0
163	41,2	163	0
164	41,2	164	0
165	41,2	165	0
166	41,2	166	0
167	41,2	167	0
168	41,2	168	0
169	41,2	169	0
170	41,2	170	0
171	41,2	171	0
172	41,2	172	0
173	41,2	173	0
174	41,2	174	0
175	41,2	175	0
176	41,2	176	0
177	41,2	177	0
178	41,2	178	0
179	41,2	179	0
180	41,2	180	0
181	41,2	181	0
182	41,2	182	0
183	41,2	183	0
184	41,2	184	0
185	41,2	185	0
186	41,2	186	0
187	41,2	187	0
188	41,2	188	0
189	41,2	189	0
190	41,2	190	0
191	41,2	191	0
192	41,2	192	0
193	41,2	193	0
194	41,2	194	0
195	41,2	195	0
196	41,2	196	0
197	41,2	197	0
198	41,2	198	0
199	41,2	199	0
200	41,2	200	0
201	41,2	201	0
202	41,2	202	0
203	41,2	203	0
204	41,2	204	0
205	41,2	205	0
206	41,2	206	0
207	41,2	207	0
208	41,2	208	0
209	41,2	209	0
210	41,2	210	0
211	41,2	211	0
212	41,2	212	0
213	41,2	213	0
214	41,2	214	0
215	41,2	215	0
216	41,2	216	0
217	41,2	217	0
218	41,2	218	0
219	41,2	219	0
220	41,2	220	0
221	41,2	221	0
222	41,2	222	0
223	41,2	223	0
224	41,2	224	0
225	41,2	225	0
226	41,2	226	0
227	41,2	227	0
228	41,2	228	0
229	41,2	229	0
230	41,2	230	0
231	41,2	231	0
232	41,2	232	0
233	41,2	233	0
234	41,2	234	0
235	41,2	235	0
236	41,2	236	0
237	41,2	237	0
238	41,2	238	0
239	41,2	239	0
240	41,2	240	0
241	41,2	241	0
242	41,2	242	0
243	41,2	243	0
244	41,2	244	0
245	41,2	245	0
246	41,2	246	0
247	41,2	247	0
248	41,2	248	0
249	41,2	249	0
250	41,2	250	0
251	41,2	251	0
252	41,2	252	0
253	41,2	253	0
254	41,2	254	0
255	41,2	255	0
256	41,2	256	0
257	41,2	257	0
258	41,2	258	0
259	41,2	259	0
260	41,2	260	0
261	41,2	261	0
262	41,2	262	0
263	41,2	263	0
264	41,2	264	0
265	41,4	265	0
266	41,4	266	0
267	41,4	267	0
268	41,4	268	0
269	41,4	269	0
270	41,4	270	0
271	41,4	271	0
272	41,5	272	0
273	41,5	273	0
274	41,5	274	0
275	41,5	275	0
276	41,5	276	0
277	41,5	277	0
278	41,5	278	0
279	41,5	279	0
280	41,5	280	0
281	41,5	281	0
282	41,7	282	0
283	41,7	283	0
284	41,7	284	0
285	41,7	285	0
286	41,7	286	0
287	41,7	287	0
288	41,9	288	0
289	41,9	289	0
290	41,9	290	0
291	42	291	0
292	42	292	0
293	42	293	0
294	42	294	0
295	42	295	0
296	42,2	296	0
297	42,2	297	0
298	42,2	298	0
299	42,2	299	0
300	42,2	300	0
301	42,4	301	0
302	42,4	302	0
303	42,5	303	0
304	42,5	304	0
305	42,5	305	0
306	42,5	306	0
307	42,5	307	0
308	42,5	308	0
309	42,7	309	0
310	42,7	310	0
311	42,7	311	0
312	42,7	312	0
313	42,7	313	0
314	42,9	314	0
315	42,9	315	0
316	42,9	316	0
317	43	317	0
318	43	318	0
319	43	319	0
320	43	320	0
321	43	321	0
322	43,2	322	0
