Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	68,9	0	0
1	66,5	1	0
2	66,5	2	0
3	66,5	3	0
4	66,5	4	0
5	66,6	5	0
6	66,6	6	0
7	66,8	7	0
8	66,8	8	0
9	66,8	9	0
10	66,9	10	0
11	66,9	11	0
12	66,9	12	0
13	67	13	0
14	67	14	0
15	67	15	0
16	67	16	0
17	67,1	17	0
18	67,1	18	0
19	67,1	19	0
20	67,3	20	0
21	67,3	21	0
22	67,4	22	0
23	67,4	23	0
24	67,4	24	0
25	67,5	25	0
26	67,5	26	0
27	67,5	27	0
28	67,5	28	0
29	67,5	29	0
30	67,5	30	0
31	67,6	31	0
32	67,6	32	0
33	67,6	33	0
34	67,8	34	0
35	67,8	35	0
36	67,8	36	0
37	67,9	37	0
38	67,9	38	0
39	67,9	39	0
40	67,9	40	0
41	68	41	0
42	68	42	0
43	68	43	0
44	68	44	0
45	68	45	0
46	68	46	0
47	68	47	0
48	68,1	48	0
49	68,1	49	0
50	68,1	50	0
51	68,1	51	0
52	68,1	52	0
53	68,3	53	0
54	68,3	54	0
55	68,3	55	0
56	68,3	56	0
57	68,4	57	0
58	68,4	58	0
59	68,4	59	0
60	68,4	60	0
61	68,4	61	0
62	68,4	62	0
63	68,5	63	0
64	68,5	64	0
65	68,5	65	0
66	68,5	66	0
67	68,5	67	0
68	68,5	68	0
69	68,5	69	0
70	68,5	70	0
71	68,5	71	0
72	68,5	72	0
73	68,6	73	0
74	68,6	74	0
75	68,6	75	0
76	68,6	76	0
77	68,6	77	0
78	68,6	78	0
79	68,6	79	0
80	68,8	80	0
81	68,8	81	0
82	68,8	82	0
83	68,8	83	0
84	68,8	84	0
85	68,8	85	0
86	68,9	86	0
87	68,9	87	0
88	68,9	88	0
89	68,9	89	0
90	68,9	90	0
91	68,9	91	0
92	68,9	92	0
93	68,9	93	0
94	69	94	0
95	69	95	0
96	69	96	0
97	69	97	0
98	69	98	0
99	69	99	0
100	69	100	0
101	69	101	0
102	69	102	0
103	69,1	103	0
104	69,1	104	0
105	69,1	105	0
106	69,1	106	0
107	69,3	107	0
108	69,3	108	0
109	69,3	109	0
110	69,3	110	0
111	69,3	111	0
112	69,3	112	0
113	69,4	113	0
114	69,4	114	0
115	69,4	115	0
116	69,4	116	0
117	69,4	117	0
118	69,4	118	0
119	69,4	119	0
120	69,4	120	0
121	69,4	121	0
122	69,4	122	0
123	69,4	123	0
124	69,5	124	0
125	69,5	125	0
126	69,5	126	0
127	69,5	127	0
128	69,5	128	0
129	69,5	129	0
130	69,5	130	0
131	69,5	131	0
132	69,5	132	0
133	69,5	133	0
134	69,5	134	0
135	69,5	135	0
136	69,5	136	0
137	69,5	137	0
138	69,5	138	0
139	69,5	139	0
140	69,5	140	0
141	69,5	141	0
142	69,5	142	0
143	69,5	143	0
144	69,5	144	0
145	69,5	145	0
146	69,5	146	0
147	69,5	147	0
148	69,5	148	0
149	69,5	149	0
150	69,5	150	0
151	69,5	151	0
152	69,5	152	0
153	69,5	153	0
154	69,5	154	0
155	69,5	155	0
156	69,5	156	0
157	69,5	157	0
158	69,6	158	0
159	69,6	159	0
160	69,6	160	0
161	69,6	161	0
162	69,6	162	0
163	69,6	163	0
164	69,6	164	0
165	69,6	165	0
166	69,6	166	0
167	69,6	167	0
168	69,6	168	0
169	69,6	169	0
170	69,6	170	0
171	69,6	171	0
172	69,6	172	0
173	69,6	173	0
174	69,6	174	0
175	69,6	175	0
176	69,6	176	0
177	69,6	177	0
178	69,6	178	0
179	69,6	179	0
180	69,6	180	0
181	69,6	181	0
182	69,6	182	0
183	69,6	183	0
184	69,6	184	0
185	69,6	185	0
186	69,6	186	0
187	69,6	187	0
188	69,6	188	0
189	69,6	189	0
190	69,6	190	0
191	69,6	191	0
192	69,6	192	0
193	69,6	193	0
194	69,6	194	0
195	69,6	195	0
196	69,6	196	0
197	69,6	197	0
198	69,6	198	0
199	69,6	199	0
200	69,6	200	0
201	69,6	201	0
202	69,6	202	0
203	69,6	203	0
204	69,6	204	0
205	69,6	205	0
206	69,5	206	0
207	69,5	207	0
208	69,6	208	0
209	69,6	209	0
210	69,6	210	0
211	69,6	211	0
212	69,6	212	0
213	69,6	213	0
214	69,6	214	0
215	69,6	215	0
216	69,6	216	0
217	69,6	217	0
218	69,6	218	0
219	69,6	219	0
220	69,6	220	0
221	69,6	221	0
222	69,6	222	0
223	69,6	223	0
224	69,6	224	0
225	69,6	225	0
226	69,6	226	0
227	69,6	227	0
228	69,6	228	0
229	69,6	229	0
230	69,8	230	0
231	69,8	231	0
232	69,8	232	0
233	69,8	233	0
234	69,8	234	0
235	69,8	235	0
236	69,8	236	0
237	69,8	237	0
238	69,8	238	0
239	69,8	239	0
240	69,8	240	0
241	69,8	241	0
242	69,8	242	0
243	69,8	243	0
244	69,8	244	0
245	69,8	245	0
246	69,8	246	0
247	69,9	247	0
248	69,9	248	0
249	69,9	249	0
250	69,9	250	0
251	69,9	251	0
252	69,9	252	0
253	69,9	253	0
254	69,9	254	0
255	69,9	255	0
256	69,9	256	0
257	69,9	257	0
258	69,9	258	0
259	69,9	259	0
260	69,9	260	0
261	69,9	261	0
262	69,9	262	0
263	69,9	263	0
264	69,9	264	0
265	69,9	265	0
266	69,9	266	0
267	69,9	267	0
268	69,9	268	0
269	69,9	269	0
270	69,9	270	0
271	69,9	271	0
272	69,9	272	0
273	69,9	273	0
274	69,9	274	0
275	69,9	275	0
276	69,9	276	0
277	69,9	277	0
278	69,9	278	0
279	69,9	279	0
280	69,9	280	0
281	69,9	281	0
282	69,9	282	0
283	69,9	283	0
284	69,9	284	0
285	69,9	285	0
286	69,9	286	0
287	69,9	287	0
288	69,9	288	0
289	69,9	289	0
290	69,9	290	0
291	69,9	291	0
292	69,9	292	0
293	69,9	293	0
294	69,8	294	0
295	69,8	295	0
296	69,8	296	0
297	69,8	297	0
298	69,9	298	0
299	69,8	299	0
300	69,8	300	0
301	69,9	301	0
302	69,8	302	0
303	69,8	303	0
304	69,8	304	0
305	69,8	305	0
306	69,8	306	0
307	69,8	307	0
308	69,8	308	0
309	69,8	309	0
310	69,8	310	0
311	69,8	311	0
312	69,8	312	0
313	69,8	313	0
314	69,8	314	0
315	69,8	315	0
316	69,8	316	0
317	69,8	317	0
318	69,8	318	0
319	69,8	319	0
320	69,8	320	0
321	69,8	321	0
322	69,8	322	0
323	69,8	323	0
324	69,6	324	0
325	69,6	325	0
326	69,6	326	0
327	69,6	327	0
328	69,6	328	0
329	69,6	329	0
330	69,6	330	0
331	69,6	331	0
332	69,6	332	0
333	69,6	333	0
334	69,6	334	0
335	69,6	335	0
336	69,6	336	0
337	69,6	337	0
338	69,6	338	0
339	69,6	339	0
340	69,6	340	0
341	69,6	341	0
342	69,6	342	0
343	69,6	343	0
344	69,6	344	0
345	69,6	345	0
346	69,6	346	0
347	69,6	347	0
348	69,6	348	0
349	69,6	349	0
350	69,6	350	0
351	69,6	351	0
352	69,6	352	0
353	69,6	353	0
354	69,5	354	0
355	69,5	355	0
356	69,5	356	0
357	69,5	357	0
358	69,5	358	0
359	69,5	359	0
360	69,5	360	0
361	69,5	361	0
362	69,5	362	0
363	69,5	363	0
364	69,5	364	0
365	69,5	365	0
366	69,5	366	0
367	69,5	367	0
368	69,5	368	0
369	69,5	369	0
370	69,5	370	0
371	69,5	371	0
372	69,5	372	0
373	69,5	373	0
374	69,5	374	0
375	69,5	375	0
376	69,5	376	0
377	69,5	377	0
378	69,5	378	0
379	69,5	379	0
380	69,5	380	0
381	69,5	381	0
382	69,5	382	0
383	69,5	383	0
384	69,5	384	0
385	69,5	385	0
386	69,5	386	0
387	69,5	387	0
388	69,5	388	0
389	69,5	389	0
390	69,5	390	0
391	69,5	391	0
392	69,5	392	0
393	69,5	393	0
394	69,5	394	0
395	69,5	395	0
396	69,5	396	0
397	69,5	397	0
398	69,5	398	0
399	69,5	399	0
400	69,5	400	0
401	69,5	401	0
402	69,5	402	0
403	69,5	403	0
404	69,5	404	0
405	69,5	405	0
406	69,4	406	0
407	69,4	407	0
408	69,4	408	0
409	69,4	409	0
410	69,4	410	0
411	69,4	411	0
412	69,4	412	0
413	69,4	413	0
414	69,4	414	0
415	69,4	415	0
416	69,4	416	0
417	69,4	417	0
418	69,4	418	0
419	69,4	419	0
420	69,4	420	0
421	69,4	421	0
422	69,4	422	0
423	69,4	423	0
424	69,4	424	0
425	69,4	425	0
426	69,4	426	0
427	69,4	427	0
428	69,3	428	0
429	69,3	429	0
430	69,3	430	0
431	69,3	431	0
432	69,3	432	0
433	69,4	433	0
434	69,3	434	0
435	69,3	435	0
436	69,3	436	0
437	69,3	437	0
438	69,3	438	0
439	69,3	439	0
440	69,3	440	0
441	69,3	441	0
442	69,3	442	0
443	69,3	443	0
444	69,3	444	0
445	69,3	445	0
446	69,3	446	0
447	69,3	447	0
448	69,3	448	0
449	69,3	449	0
450	69,3	450	0
451	69,1	451	0
452	69,3	452	0
453	69,1	453	0
454	69,1	454	0
455	69,1	455	0
456	69,1	456	0
457	69,1	457	0
458	69,1	458	0
459	69,1	459	0
460	69,1	460	0
461	69,1	461	0
462	69,1	462	0
463	69,1	463	0
464	69,1	464	0
465	69,1	465	0
466	69,1	466	0
467	69,1	467	0
468	69,1	468	0
469	69,1	469	0
470	69,1	470	0
471	69	471	0
472	69	472	0
473	69	473	0
474	69	474	0
475	69	475	0
476	69	476	0
477	69	477	0
478	69	478	0
479	69	479	0
480	69	480	0
481	69	481	0
482	69	482	0
483	69	483	0
484	69	484	0
485	69	485	0
486	69	486	0
487	69	487	0
488	69	488	0
489	69	489	0
490	69	490	0
491	69	491	0
492	69	492	0
493	69	493	0
494	69	494	0
495	69	495	0
496	69	496	0
497	69	497	0
498	69	498	0
499	69	499	0
500	69	500	0
501	69	501	0
502	68,9	502	0
503	68,9	503	0
504	68,9	504	0
505	68,9	505	0
506	68,9	506	0
507	68,9	507	0
508	68,9	508	0
509	68,9	509	0
510	68,9	510	0
511	68,9	511	0
512	68,9	512	0
513	68,9	513	0
514	68,9	514	0
515	68,9	515	0
516	68,9	516	0
517	68,9	517	0
518	68,9	518	0
519	68,9	519	0
520	68,9	520	0
521	68,9	521	0
522	68,9	522	0
523	68,8	523	0
524	68,8	524	0
525	68,8	525	0
526	68,8	526	0
527	68,8	527	0
528	68,8	528	0
529	68,8	529	0
530	68,8	530	0
531	68,8	531	0
532	68,8	532	0
533	68,8	533	0
534	68,8	534	0
535	68,8	535	0
536	68,8	536	0
537	68,8	537	0
538	68,8	538	0
539	68,8	539	0
540	68,8	540	0
541	68,8	541	0
542	68,8	542	0
543	68,8	543	0
544	68,8	544	0
545	68,8	545	0
546	68,8	546	0
547	68,8	547	0
548	68,8	548	0
549	68,8	549	0
550	68,8	550	0
551	68,8	551	0
552	68,6	552	0
553	68,6	553	0
554	68,6	554	0
555	68,6	555	0
556	68,6	556	0
557	68,6	557	0
558	68,6	558	0
559	68,6	559	0
560	68,6	560	0
561	68,6	561	0
562	68,6	562	0
563	68,6	563	0
564	68,6	564	0
565	68,6	565	0
566	68,6	566	0
567	68,6	567	0
568	68,6	568	0
569	68,6	569	0
570	68,6	570	0
571	68,6	571	0
572	68,6	572	0
573	68,5	573	0
574	68,6	574	0
575	68,6	575	0
576	68,6	576	0
577	68,6	577	0
578	68,6	578	0
579	68,6	579	0
580	68,5	580	0
581	68,5	581	0
582	68,5	582	0
583	68,5	583	0
584	68,5	584	0
585	68,5	585	0
586	68,5	586	0
587	68,5	587	0
588	68,5	588	0
589	68,5	589	0
590	68,5	590	0
591	68,5	591	0
592	68,5	592	0
593	68,5	593	0
594	68,5	594	0
595	68,5	595	0
596	68,5	596	0
597	68,5	597	0
598	68,5	598	0
599	68,5	599	0
600	68,5	600	0
601	68,5	601	0
602	68,5	602	0
603	68,5	603	0
604	68,5	604	0
605	68,5	605	0
606	68,5	606	0
607	68,5	607	0
608	68,5	608	0
609	68,5	609	0
610	68,5	610	0
611	68,5	611	0
612	68,5	612	0
613	68,5	613	0
614	68,5	614	0
615	68,5	615	0
616	68,5	616	0
617	68,5	617	0
618	68,5	618	0
619	68,5	619	0
620	68,5	620	0
621	68,5	621	0
622	68,5	622	0
623	68,5	623	0
624	68,4	624	0
625	68,4	625	0
626	68,4	626	0
627	68,4	627	0
628	68,5	628	0
629	68,5	629	0
630	68,5	630	0
631	68,5	631	0
632	68,5	632	0
633	68,5	633	0
634	68,5	634	0
635	68,5	635	0
636	68,5	636	0
637	68,5	637	0
638	68,5	638	0
639	68,5	639	0
640	68,5	640	0
641	68,5	641	0
642	68,5	642	0
643	68,5	643	0
644	68,6	644	0
645	68,6	645	0
646	68,8	646	0
647	68,8	647	0
648	68,9	648	0
649	68,9	649	0
650	69	650	0
651	69	651	0
652	69	652	0
653	69,1	653	0
654	69,3	654	0
655	69,3	655	0
656	69,4	656	0
657	69,5	657	0
658	69,5	658	0
659	69,6	659	0
660	69,8	660	0
661	69,8	661	0
662	69,9	662	0
663	70	663	0
664	70	664	0
665	70,1	665	0
666	70,3	666	0
667	70,4	667	0
668	70,5	668	0
669	70,5	669	0
670	70,6	670	0
671	70,8	671	0
672	70,8	672	0
673	71	673	0
674	71	674	0
675	71	675	0
676	71,1	676	0
677	71,3	677	0
678	71,4	678	0
679	71,5	679	0
680	71,5	680	0
681	71,6	681	0
682	71,8	682	0
683	71,9	683	0
684	72	684	0
685	72	685	0
686	72,1	686	0
687	72,1	687	0
688	72,3	688	0
689	72,4	689	0
690	72,5	690	0
691	72,5	691	0
692	72,5	692	0
693	72,6	693	0
694	72,8	694	0
695	72,9	695	0
696	73	696	0
697	73	697	0
698	73	698	0
699	73,1	699	0
700	73,3	700	0
701	73,3	701	0
702	73,4	702	0
703	73,5	703	0
704	73,5	704	0
705	73,5	705	0
706	73,6	706	0
707	73,8	707	0
708	73,8	708	0
709	73,9	709	0
710	74	710	0
711	74	711	0
712	74,1	712	0
713	74,1	713	0
714	74,3	714	0
715	74,4	715	0
716	74,5	716	0
717	74,5	717	0
718	74,5	718	0
719	74,6	719	0
720	74,8	720	0
721	74,8	721	0
722	74,9	722	0
723	75	723	0
724	75	724	0
725	75,1	725	0
726	75,1	726	0
727	75,3	727	0
728	75,4	728	0
729	75,5	729	0
730	75,5	730	0
731	75,6	731	0
732	75,6	732	0
733	75,8	733	0
734	75,9	734	0
735	76	735	0
736	76	736	0
737	76	737	0
738	76,1	738	0
739	76,3	739	0
740	76,4	740	0
741	76,5	741	0
742	76,5	742	0
743	76,6	743	0
744	76,8	744	0
745	76,9	745	1
746	76,9	746	0
747	77	747	0
748	77	748	1
749	77,1	749	1
750	77,3	750	1
751	77,4	751	1
752	77,5	752	1
753	77,6	753	1
754	77,8	754	1
755	77,9	755	2
756	78	756	2
757	78	757	1
758	78,3	758	1
759	78,4	759	1
760	78,5	760	1
761	78,5	761	2
762	78,6	762	2
763	78,8	763	2
764	79	764	2
765	79	765	2
766	79,1	766	2
767	79,4	767	2
768	79,5	768	2
769	79,5	769	3
770	79,6	770	3
771	79,8	771	3
772	79,9	772	3
773	80	773	3
774	80,1	774	4
775	80,3	775	4
776	80,4	776	4
777	80,5	777	4
778	80,5	778	4
779	80,8	779	4
780	80,9	780	4
781	81	781	4
782	81	782	5
783	81,1	783	5
784	81,3	784	6
785	81,4	785	5
786	81,5	786	5
787	81,6	787	4
788	81,8	788	4
789	81,9	789	4
790	82	790	5
791	82	791	6
792	82,1	792	6
793	82,3	793	5
794	82,4	794	5
795	82,5	795	5
796	82,5	796	5
797	82,6	797	6
798	82,8	798	6
799	82,9	799	7
800	83	800	7
801	83	801	7
802	83,1	802	7
803	83,3	803	7
804	83,4	804	7
805	83,5	805	7
806	83,5	806	8
807	83,6	807	8
808	83,8	808	8
809	83,9	809	8
810	84	810	8
811	84	811	7
812	84	812	8
813	84,1	813	8
814	84,3	814	8
815	84,4	815	8
816	84,5	816	9
817	84,5	817	9
818	84,5	818	9
819	84,6	819	9
820	84,8	820	9
821	84,9	821	10
822	85	822	10
823	85	823	9
824	85,1	824	10
825	85,3	825	9
826	85,4	826	9
827	85,5	827	10
828	85,5	828	11
829	85,5	829	11
830	85,6	830	10
831	85,8	831	10
832	85,8	832	10
833	85,9	833	11
834	86	834	11
835	86	835	11
836	86	836	11
837	86,1	837	11
838	86,3	838	11
839	86,4	839	11
840	86,4	840	11
841	86,5	841	13
842	86,5	842	13
843	86,5	843	12
844	86,6	844	13
845	86,8	845	12
846	86,9	846	13
847	87	847	13
848	87	848	14
849	87,1	849	13
850	87,3	850	12
851	87,3	851	12
852	87,4	852	14
853	87,5	853	14
854	87,5	854	13
855	87,6	855	14
856	87,8	856	14
857	87,9	857	14
858	88	858	14
859	88	859	15
860	88	860	15
861	88,1	861	15
862	88,3	862	14
863	88,3	863	15
864	88,4	864	15
865	88,5	865	15
866	88,5	866	15
867	88,6	867	15
868	88,6	868	16
869	88,8	869	16
870	88,9	870	16
871	89	871	17
872	89	872	16
873	89	873	16
874	89,1	874	17
875	89,3	875	17
876	89,4	876	18
877	89,5	877	17
878	89,5	878	17
879	89,5	879	18
880	89,6	880	18
881	89,8	881	18
882	89,8	882	18
883	89,9	883	18
884	90	884	18
885	90	885	18
886	90	886	18
887	90,1	887	19
888	90,3	888	18
889	90,4	889	18
890	90,4	890	18
891	90,5	891	19
892	90,5	892	19
893	90,6	893	20
894	90,8	894	19
895	90,8	895	19
896	90,9	896	19
897	91	897	20
898	91	898	19
899	91,1	899	20
900	91,3	900	20
901	91,3	901	22
902	91,4	902	22
903	91,5	903	21
904	91,5	904	21
905	91,5	905	21
906	91,6	906	21
907	91,8	907	21
908	91,8	908	22
909	91,9	909	22
910	92	910	22
911	92	911	22
912	92	912	22
913	92	913	22
914	92,1	914	22
915	92,1	915	22
916	92,3	916	23
917	92,4	917	24
918	92,4	918	23
919	92,5	919	22
920	92,5	920	23
921	92,5	921	24
922	92,6	922	25
923	92,6	923	25
924	92,8	924	25
925	92,9	925	24
926	93	926	25
927	93	927	25
928	93	928	25
929	93,1	929	25
930	93,3	930	25
931	93,3	931	25
932	93,4	932	26
933	93,5	933	26
934	93,5	934	26
935	93,6	935	27
936	93,8	936	26
937	93,8	937	27
938	93,9	938	27
939	94	939	27
940	94	940	27
941	94,1	941	27
942	94,1	942	28
943	94,3	943	29
944	94,4	944	29
945	94,5	945	28
946	94,5	946	28
947	94,6	947	28
948	94,8	948	28
949	94,9	949	27
950	95	950	28
951	95	951	28
952	95	952	28
953	95,1	953	29
954	95,3	954	29
955	95,4	955	29
956	95,4	956	29
957	95,5	957	29
958	95,5	958	30
959	95,6	959	31
960	95,6	960	31
961	95,8	961	31
962	95,9	962	31
963	95,9	963	31
964	96	964	31
965	96	965	31
966	96	966	32
967	96,1	967	32
968	96,1	968	31
969	96,3	969	31
970	96,3	970	32
971	96,4	971	32
972	96,5	972	32
973	96,5	973	33
974	96,5	974	33
975	96,6	975	33
976	96,6	976	34
977	96,8	977	33
978	96,9	978	34
979	96,9	979	33
980	97	980	33
981	97	981	34
982	97	982	34
983	97,1	983	35
984	97,1	984	35
985	97,3	985	35
986	97,4	986	35
987	97,4	987	35
988	97,5	988	36
989	97,5	989	36
990	97,5	990	36
991	97,6	991	36
992	97,6	992	37
993	97,8	993	37
994	97,8	994	36
995	97,9	995	37
996	97,9	996	37
997	97,9	997	37
998	98	998	37
999	98	999	38
1000	98	1000	38
1001	98,1	1001	38
1002	98,3	1002	37
1003	98,3	1003	38
1004	98,4	1004	39
1005	98,5	1005	39
1006	98,5	1006	39
1007	98,5	1007	38
1008	98,6	1008	38
1009	98,8	1009	39
1010	98,9	1010	40
1011	99	1011	39
1012	99	1012	40
1013	99	1013	40
1014	99,1	1014	40
1015	99,3	1015	41
1016	99,4	1016	41
1017	99,4	1017	41
1018	99,5	1018	41
1019	99,5	1019	40
1020	99,5	1020	41
1021	99,6	1021	41
1022	99,6	1022	41
1023	99,8	1023	43
1024	99,9	1024	43
1025	99,9	1025	42
1026	100	1026	43
1027	100	1027	43
1028	100	1028	43
1029	100,1	1029	44
1030	100,1	1030	44
1031	100,3	1031	44
1032	100,4	1032	44
1033	100,5	1033	43
1034	100,5	1034	44
1035	100,5	1035	45
1036	100,6	1036	45
1037	100,8	1037	45
1038	100,9	1038	45
1039	101	1039	46
1040	101	1040	46
1041	101	1041	46
1042	101,1	1042	46
1043	101,3	1043	47
1044	101,4	1044	47
1045	101,4	1045	46
1046	101,5	1046	47
1047	101,5	1047	47
1048	101,6	1048	46
1049	101,6	1049	47
1050	101,8	1050	48
1051	101,8	1051	48
1052	101,9	1052	48
1053	101,9	1053	49
1054	101,9	1054	50
1055	102	1055	50
1056	102	1056	49
1057	102	1057	49
1058	102	1058	49
1059	102,1	1059	49
1060	102,1	1060	49
1061	102,1	1061	49
1062	102,3	1062	49
1063	102,3	1063	51
1064	102,4	1064	51
1065	102,4	1065	51
1066	102,5	1066	50
1067	102,5	1067	50
1068	102,5	1068	51
1069	102,5	1069	51
1070	102,6	1070	51
1071	102,8	1071	52
1072	102,9	1072	52
1073	102,9	1073	52
1074	103	1074	52
1075	103	1075	53
1076	103	1076	53
1077	103,1	1077	53
1078	103,3	1078	54
1079	103,4	1079	54
1080	103,4	1080	54
1081	103,5	1081	55
1082	103,5	1082	55
1083	103,6	1083	55
1084	103,6	1084	55
1085	103,8	1085	55
1086	103,9	1086	55
1087	103,9	1087	55
1088	104	1088	55
1089	104	1089	55
1090	104	1090	56
1091	104	1091	56
1092	104,1	1092	57
1093	104,1	1093	58
1094	104,3	1094	57
1095	104,4	1095	57
1096	104,5	1096	57
1097	104,5	1097	58
1098	104,5	1098	58
1099	104,6	1099	58
1100	104,8	1100	59
1101	104,8	1101	58
1102	104,9	1102	58
1103	104,9	1103	59
1104	105	1104	59
1105	105	1105	59
1106	105	1106	59
1107	105,1	1107	59
1108	105,3	1108	59
1109	105,4	1109	59
1110	105,4	1110	60
1111	105,5	1111	61
1112	105,5	1112	61
1113	105,5	1113	60
1114	105,5	1114	60
1115	105,6	1115	61
1116	105,6	1116	62
1117	105,8	1117	61
1118	105,9	1118	61
1119	105,9	1119	62
1120	106	1120	62
1121	106	1121	62
1122	106,1	1122	63
1123	106,3	1123	64
1124	106,4	1124	64
1125	106,4	1125	64
1126	106,5	1126	63
1127	106,5	1127	64
1128	106,6	1128	64
1129	106,6	1129	64
1130	106,8	1130	65
1131	106,9	1131	65
1132	107	1132	65
1133	107	1133	65
1134	107	1134	65
1135	107	1135	65
1136	107,1	1136	66
1137	107,1	1137	66
1138	107,3	1138	66
1139	107,3	1139	67
1140	107,4	1140	67
1141	107,4	1141	68
1142	107,5	1142	67
1143	107,5	1143	68
1144	107,5	1144	69
1145	107,5	1145	69
1146	107,6	1146	68
1147	107,8	1147	68
1148	107,8	1148	69
1149	107,9	1149	68
1150	108	1150	68
1151	108	1151	69
1152	108	1152	70
1153	108	1153	70
1154	108,1	1154	70
1155	108,3	1155	70
1156	108,3	1156	70
1157	108,4	1157	70
1158	108,5	1158	71
1159	108,5	1159	71
1160	108,5	1160	72
1161	108,6	1161	72
1162	108,8	1162	72
1163	108,8	1163	72
1164	108,9	1164	72
1165	109	1165	73
1166	109	1166	73
1167	109	1167	73
1168	109,1	1168	73
1169	109,3	1169	73
1170	109,3	1170	74
1171	109,4	1171	74
1172	109,5	1172	74
1173	109,5	1173	75
1174	109,5	1174	76
1175	109,6	1175	75
1176	109,6	1176	75
1177	109,8	1177	75
1178	109,8	1178	76
1179	109,9	1179	76
1180	110	1180	76
1181	110	1181	76
1182	110	1182	76
1183	110,1	1183	76
1184	110,1	1184	76
1185	110,3	1185	76
1186	110,4	1186	78
1187	110,4	1187	78
1188	110,5	1188	78
1189	110,5	1189	78
1190	110,5	1190	78
1191	110,6	1191	78
1192	110,8	1192	79
1193	110,8	1193	79
1194	110,9	1194	80
1195	111	1195	80
1196	111	1196	80
1197	111	1197	81
1198	111	1198	81
1199	111,1	1199	81
1200	111,3	1200	81
1201	111,3	1201	82
1202	111,4	1202	82
1203	111,4	1203	82
1204	111,5	1204	83
1205	111,5	1205	83
1206	111,5	1206	83
1207	111,5	1207	83
1208	111,6	1208	83
1209	111,8	1209	83
1210	111,8	1210	84
1211	111,9	1211	84
1212	111,9	1212	84
1213	112	1213	85
1214	112	1214	84
1215	112	1215	84
1216	112,1	1216	84
1217	112,1	1217	85
1218	112,3	1218	86
1219	112,4	1219	86
1220	112,5	1220	86
1221	112,5	1221	87
1222	112,5	1222	87
1223	112,6	1223	88
1224	112,8	1224	89
1225	112,9	1225	88
1226	112,9	1226	87
1227	113	1227	88
1228	113	1228	88
1229	113	1229	88
1230	113,1	1230	89
1231	113,1	1231	89
1232	113,3	1232	90
1233	113,4	1233	90
1234	113,4	1234	90
1235	113,5	1235	90
1236	113,5	1236	91
1237	113,5	1237	90
1238	113,5	1238	91
1239	113,6	1239	92
1240	113,6	1240	92
1241	113,8	1241	92
1242	113,8	1242	92
1243	113,9	1243	92
1244	113,9	1244	93
1245	114	1245	93
1246	114	1246	93
1247	114	1247	92
1248	114	1248	94
1249	114,1	1249	94
1250	114,3	1250	94
1251	114,3	1251	94
1252	114,4	1252	94
1253	114,4	1253	95
1254	114,5	1254	96
1255	114,5	1255	96
1256	114,5	1256	95
1257	114,5	1257	96
1258	114,6	1258	97
