Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
243	64,5	243	0
244	64,5	244	0
245	64,5	245	0
246	64,6	246	0
247	64,6	247	0
248	64,8	248	0
249	64,8	249	0
250	64,9	250	0
251	64,9	251	0
252	64,9	252	0
253	65	253	0
254	65	254	0
255	65	255	0
256	65	256	0
257	65,1	257	0
258	65,1	258	0
259	65,3	259	0
260	65,3	260	0
261	65,4	261	0
262	65,4	262	0
263	65,5	263	0
264	65,5	264	0
265	65,5	265	0
266	65,5	266	0
267	65,6	267	0
268	65,6	268	0
269	65,8	269	0
270	65,8	270	0
271	65,9	271	0
272	65,9	272	0
273	66	273	0
274	66	274	0
275	66	275	0
276	66	276	0
277	66,1	277	0
278	66,1	278	0
279	66,3	279	0
280	66,3	280	0
281	66,3	281	0
282	66,4	282	0
283	66,4	283	0
284	66,5	284	0
285	66,5	285	0
286	66,5	286	0
287	66,5	287	0
288	66,6	288	0
289	66,6	289	0
290	66,8	290	0
291	66,8	291	0
292	66,9	292	0
293	66,9	293	0
294	66,9	294	0
295	67	295	0
296	67	296	0
297	67	297	0
298	67	298	0
299	67,1	299	0
300	67,1	300	0
301	67,3	301	0
302	67,3	302	0
303	67,4	303	0
304	67,4	304	0
305	67,5	305	0
306	67,5	306	0
307	67,5	307	0
308	67,6	308	0
309	67,8	309	0
310	67,8	310	0
311	67,9	311	0
312	67,9	312	0
313	68	313	0
314	68	314	0
315	68	315	0
316	68	316	0
317	68,1	317	0
318	68,1	318	0
319	68,3	319	0
320	68,3	320	0
321	68,4	321	0
322	68,4	322	0
323	68,5	323	0
324	68,5	324	0
325	68,5	325	0
326	68,5	326	0
327	68,5	327	0
328	68,6	328	0
329	68,6	329	0
330	68,8	330	0
331	68,8	331	0
332	68,9	332	0
333	68,9	333	0
334	68,9	334	0
335	69	335	0
336	69	336	0
337	69	337	0
338	69	338	0
339	69	339	0
340	69,1	340	0
341	69,1	341	0
342	69,1	342	0
343	69,1	343	0
344	69,3	344	0
345	69,3	345	0
346	69,3	346	0
347	69,4	347	0
348	69,4	348	0
349	69,5	349	0
350	69,5	350	0
351	69,5	351	0
352	69,5	352	0
353	69,5	353	0
354	69,6	354	0
