Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	66,3	0	1
1	63,5	1	0
2	63,5	2	0
3	63,5	3	0
4	63,5	4	0
5	63,5	5	0
6	63,5	6	0
7	63,4	7	0
8	63,4	8	0
9	63,4	9	0
10	63,4	10	0
11	63,4	11	0
12	63,4	12	0
13	63,4	13	0
14	63,4	14	0
15	63,4	15	0
16	63,4	16	0
17	63,4	17	0
18	63,4	18	0
19	63,2	19	0
20	63,2	20	0
21	63,2	21	0
22	63,2	22	0
23	63,2	23	0
24	63,2	24	0
25	63,2	25	0
26	63,2	26	0
27	63,2	27	0
28	63,2	28	0
29	63,2	29	0
30	63,2	30	0
31	63,2	31	0
32	63,2	32	0
33	63,2	33	0
34	63,2	34	0
35	63,2	35	0
36	63,2	36	0
37	63	37	0
38	63	38	0
39	63	39	0
40	63	40	0
41	63	41	0
42	63	42	0
43	63	43	0
44	63	44	0
45	63	45	0
46	63	46	0
47	63	47	0
48	63	48	0
49	63	49	0
50	63	50	0
51	63	51	0
52	63	52	0
53	62,9	53	0
54	62,9	54	0
55	62,9	55	0
56	62,9	56	0
57	62,9	57	0
58	62,9	58	0
59	62,9	59	0
60	62,9	60	0
61	62,9	61	0
62	62,9	62	0
63	62,9	63	0
64	62,9	64	0
65	62,7	65	0
66	62,7	66	0
67	62,7	67	0
68	62,7	68	0
69	62,7	69	0
70	62,7	70	0
71	62,7	71	0
72	62,7	72	0
73	62,7	73	0
74	62,7	74	0
75	62,7	75	0
76	62,7	76	0
77	62,7	77	0
78	62,7	78	0
79	62,7	79	0
80	62,7	80	0
81	62,7	81	0
82	62,7	82	0
83	62,7	83	0
84	62,7	84	0
85	62,7	85	0
86	62,7	86	0
87	62,7	87	0
88	62,7	88	0
89	62,7	89	0
90	62,7	90	0
91	62,7	91	0
92	62,7	92	0
93	62,7	93	0
94	62,7	94	0
95	62,7	95	0
96	62,7	96	0
97	62,7	97	0
98	62,7	98	0
99	62,7	99	0
100	62,7	100	0
101	62,7	101	0
102	62,5	102	0
103	62,5	103	0
104	62,5	104	0
105	62,5	105	0
106	62,5	106	0
107	62,5	107	0
108	62,5	108	0
109	62,5	109	0
110	62,5	110	0
111	62,5	111	0
112	62,5	112	0
113	62,5	113	0
114	62,5	114	0
115	62,5	115	0
116	62,5	116	0
117	62,5	117	0
118	62,5	118	0
119	62,5	119	0
120	62,5	120	0
121	62,5	121	0
122	62,5	122	0
123	62,5	123	0
124	62,5	124	0
125	62,5	125	0
126	62,5	126	0
127	62,5	127	0
128	62,5	128	0
129	62,4	129	0
130	62,4	130	0
131	62,4	131	0
132	62,4	132	0
133	62,4	133	0
134	62,4	134	0
135	62,4	135	0
136	62,4	136	0
137	62,4	137	0
138	62,4	138	0
139	62,4	139	0
140	62,4	140	0
141	62,4	141	0
142	62,4	142	0
143	62,4	143	0
144	62,4	144	0
145	62,4	145	0
146	62,4	146	0
147	62,4	147	0
148	62,4	148	0
149	62,4	149	0
150	62,4	150	0
151	62,4	151	0
152	62,4	152	0
153	62,4	153	0
154	62,4	154	0
155	62,4	155	0
156	62,4	156	0
157	62,4	157	0
158	62,4	158	0
159	62,2	159	0
160	62,2	160	0
161	62,2	161	0
162	62,2	162	0
163	62,2	163	0
164	62,2	164	0
165	62,2	165	0
166	62,2	166	0
167	62,2	167	0
168	62,2	168	0
169	62,2	169	0
170	62,2	170	0
171	62,2	171	0
172	62,2	172	0
173	62,2	173	0
174	62,2	174	0
175	62,2	175	0
176	62,2	176	0
177	62,2	177	0
178	62,2	178	0
179	62,2	179	0
180	62,2	180	0
181	62,2	181	0
182	62,2	182	0
183	62,2	183	0
184	62,2	184	0
185	62,2	185	0
186	62,2	186	0
187	62,2	187	0
188	62,2	188	0
189	62,2	189	0
190	62,2	190	0
191	62,2	191	0
192	62,2	192	0
193	62,2	193	0
194	62,2	194	0
195	62,2	195	0
196	62,2	196	0
197	62	197	0
198	62	198	0
199	62	199	0
200	62	200	0
201	62	201	0
202	62	202	0
203	62	203	0
204	62	204	0
205	62	205	0
206	62	206	0
207	62	207	0
208	62	208	0
209	62	209	0
210	62	210	0
211	62	211	0
212	62	212	0
213	62	213	0
214	62	214	0
215	62	215	0
216	62	216	0
217	62	217	0
218	62	218	0
219	62	219	0
220	62	220	0
221	62	221	0
222	62	222	0
223	62	223	0
224	62	224	0
225	62	225	0
226	62	226	0
227	62	227	0
228	62	228	0
229	62	229	0
230	62	230	0
231	62	231	0
232	62	232	0
233	62	233	0
234	62	234	0
235	62	235	0
236	62	236	0
237	62	237	0
238	62	238	0
239	62	239	0
240	62	240	0
241	62	241	0
242	62	242	0
243	62	243	0
244	62	244	0
245	62	245	0
246	62	246	0
247	62	247	0
248	62	248	0
249	62	249	0
250	62	250	0
251	61,9	251	0
252	61,9	252	0
253	61,9	253	0
254	61,9	254	0
255	61,9	255	0
256	61,9	256	0
257	61,9	257	0
258	61,9	258	0
259	61,9	259	0
260	61,9	260	0
261	61,9	261	0
262	61,9	262	0
263	61,9	263	0
264	61,9	264	0
265	61,9	265	0
266	61,9	266	0
267	61,9	267	0
268	61,9	268	0
269	61,9	269	0
270	61,9	270	0
271	61,9	271	0
272	61,7	272	0
273	61,7	273	0
274	61,7	274	0
275	61,7	275	0
276	61,7	276	0
277	61,7	277	0
278	61,7	278	0
279	61,7	279	0
280	61,7	280	0
281	61,7	281	0
282	61,7	282	0
283	61,7	283	0
284	61,7	284	0
285	61,7	285	0
286	61,7	286	0
287	61,7	287	0
288	61,7	288	0
289	61,7	289	0
290	61,7	290	0
291	61,7	291	0
292	61,7	292	0
293	61,7	293	0
294	61,7	294	0
295	61,7	295	0
296	61,7	296	0
297	61,7	297	0
298	61,7	298	0
299	61,7	299	0
300	61,7	300	0
301	61,7	301	0
