Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	59,4	0	0
1	57,5	1	0
2	57,5	2	0
3	57,5	3	0
4	57,5	4	0
5	57,5	5	0
6	57,5	6	0
7	57,5	7	0
8	57,5	8	0
9	57,5	9	0
10	57,5	10	0
11	57,5	11	0
12	57,5	12	0
13	57,5	13	0
14	57,5	14	0
15	57,5	15	0
16	57,5	16	0
17	57,5	17	0
18	57,5	18	0
19	57,5	19	0
20	57,5	20	0
21	57,5	21	0
22	57,5	22	0
23	57,5	23	0
24	57,5	24	0
25	57,5	25	0
26	57,5	26	0
27	57,5	27	0
28	57,5	28	0
29	57,5	29	0
30	57,5	30	0
31	57,5	31	0
32	57,5	32	0
33	57,5	33	0
34	57,5	34	0
35	57,5	35	0
36	57,5	36	0
37	57,5	37	0
38	57,5	38	0
39	57,5	39	0
40	57,5	40	0
41	57,5	41	0
42	57,5	42	0
43	57,5	43	0
44	57,5	44	0
45	57,5	45	0
46	57,5	46	0
47	57,5	47	0
48	57,5	48	0
49	57,5	49	0
50	57,5	50	0
51	57,5	51	0
52	57,5	52	0
53	57,5	53	0
54	57,5	54	0
55	57,5	55	0
56	57,5	56	0
57	57,5	57	0
58	57,5	58	0
59	57,5	59	0
60	57,5	60	0
61	57,5	61	0
62	57,5	62	0
63	57,5	63	0
64	57,5	64	0
65	57,5	65	0
66	57,5	66	0
67	57,5	67	0
68	57,5	68	0
69	57,4	69	0
70	57,4	70	0
71	57,4	71	0
72	57,4	72	0
73	57,4	73	0
74	57,4	74	0
75	57,4	75	0
76	57,4	76	0
77	57,4	77	0
78	57,4	78	0
79	57,4	79	0
80	57,4	80	0
81	57,4	81	0
82	57,4	82	0
83	57,4	83	0
84	57,4	84	0
85	57,4	85	0
86	57,4	86	0
87	57,4	87	0
88	57,4	88	0
89	57,4	89	0
90	57,4	90	0
91	57,4	91	0
92	57,4	92	0
93	57,4	93	0
94	57,4	94	0
95	57,4	95	0
96	57,4	96	0
97	57,4	97	0
98	57,4	98	0
99	57,4	99	0
100	57,4	100	0
101	57,4	101	0
102	57,4	102	0
103	57,4	103	0
104	57,4	104	0
105	57,4	105	0
106	57,4	106	0
107	57,4	107	0
108	57,4	108	0
109	57,4	109	0
110	57,4	110	0
111	57,4	111	0
112	57,2	112	0
113	57,2	113	0
114	57,2	114	0
115	57,4	115	0
116	57,2	116	0
117	57,2	117	0
118	57,2	118	0
119	57,2	119	0
120	57,2	120	0
121	57,2	121	0
122	57,2	122	0
123	57,2	123	0
124	57,4	124	0
125	57,4	125	0
126	57,4	126	0
127	57,4	127	0
128	57,4	128	0
129	57,4	129	0
130	57,4	130	0
131	57,4	131	0
132	57,4	132	0
133	57,4	133	0
134	57,4	134	0
135	57,4	135	0
136	57,4	136	0
137	57,4	137	0
138	57,4	138	0
139	57,4	139	0
140	57,4	140	0
141	57,4	141	0
142	57,4	142	0
143	57,4	143	0
144	57,4	144	0
145	57,4	145	0
146	57,4	146	0
147	57,4	147	0
148	57,4	148	0
149	57,4	149	0
150	57,4	150	0
151	57,4	151	0
152	57,4	152	0
153	57,4	153	0
154	57,4	154	0
155	57,4	155	0
156	57,4	156	0
157	57,4	157	0
158	57,4	158	0
159	57,4	159	0
160	57,4	160	0
161	57,4	161	0
162	57,4	162	0
163	57,4	163	0
164	57,4	164	0
165	57,4	165	0
166	57,4	166	0
167	57,4	167	0
168	57,4	168	0
169	57,4	169	0
170	57,4	170	0
171	57,4	171	0
172	57,4	172	0
173	57,4	173	0
174	57,4	174	0
175	57,4	175	0
176	57,4	176	0
