Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	67	12	0
13	67	13	0
14	67	14	0
15	67	15	0
16	67	16	0
17	67	17	0
18	67	18	0
19	66,9	19	0
20	66,9	20	0
21	66,9	21	0
22	66,9	22	0
23	66,9	23	0
24	66,9	24	0
25	66,9	25	0
26	66,9	26	0
27	66,9	27	0
28	66,9	28	0
29	67	29	0
30	67	30	0
31	67	31	0
32	67	32	0
33	67	33	0
34	67	34	0
35	67	35	0
36	67,1	36	0
37	67,1	37	0
38	67,3	38	0
39	67,3	39	0
40	67,4	40	0
41	67,4	41	0
42	67,5	42	0
43	67,5	43	0
44	67,5	44	0
45	67,5	45	0
46	67,6	46	0
47	67,6	47	0
48	67,8	48	0
49	67,9	49	0
50	67,9	50	0
51	68	51	0
52	68	52	0
53	68	53	0
54	68,1	54	0
55	68,3	55	0
56	68,3	56	0
57	68,4	57	0
58	68,5	58	0
59	68,5	59	0
60	68,5	60	0
61	68,6	61	0
62	68,8	62	0
63	68,9	63	0
64	69	64	0
65	69	65	0
66	69,1	66	0
67	69,3	67	0
68	69,4	68	0
69	69,5	69	0
70	69,6	70	0
71	69,8	71	0
72	69,9	72	0
73	70	73	0
74	70	74	0
75	70,3	75	0
76	70,4	76	0
77	70,5	77	0
78	70,5	78	0
79	70,6	79	0
80	70,8	80	0
81	70,9	81	0
82	71	82	0
83	71,1	83	0
84	71,3	84	0
85	71,4	85	0
86	71,4	86	0
87	71,5	87	0
88	71,5	88	0
89	71,6	89	0
90	71,8	90	0
91	71,8	91	0
92	71,9	92	0
93	72	93	0
94	72	94	0
95	72	95	0
96	72,1	96	0
97	72,1	97	0
98	72,3	98	0
99	72,4	99	0
100	72,4	100	0
101	72,5	101	0
102	72,5	102	0
103	72,5	103	0
104	72,5	104	0
105	72,6	105	0
106	72,6	106	0
107	72,8	107	0
108	72,8	108	0
109	72,9	109	0
110	72,9	110	0
111	73	111	0
112	73	112	0
113	73	113	0
114	73	114	0
115	73	115	0
116	73,1	116	0
117	73,1	117	0
118	73,1	118	0
119	73,3	119	0
120	73,3	120	0
121	73,3	121	0
122	73,3	122	0
123	73,4	123	0
124	73,4	124	0
125	73,4	125	0
126	73,5	126	0
127	73,5	127	0
128	73,5	128	0
129	73,5	129	0
130	73,5	130	0
131	73,5	131	0
132	73,5	132	0
133	73,5	133	0
134	73,5	134	0
135	73,5	135	0
136	73,6	136	0
137	73,6	137	0
138	73,6	138	0
139	73,6	139	0
140	73,6	140	0
141	73,6	141	0
142	73,6	142	0
143	73,8	143	0
144	73,8	144	0
145	73,8	145	0
146	73,8	146	0
147	73,8	147	0
148	73,8	148	0
149	73,8	149	0
150	73,9	150	0
151	73,9	151	0
152	73,9	152	0
153	73,9	153	0
154	73,9	154	0
155	73,9	155	0
156	73,9	156	0
157	73,9	157	0
158	73,9	158	0
159	73,9	159	0
160	73,9	160	0
161	73,9	161	0
162	73,9	162	0
163	73,9	163	0
164	73,9	164	0
165	73,9	165	0
166	73,9	166	0
167	73,9	167	0
168	73,9	168	0
169	73,9	169	0
170	73,9	170	0
171	74	171	0
172	74	172	0
173	74	173	0
174	74	174	0
175	74	175	0
176	74	176	0
177	74	177	0
178	74	178	0
179	74	179	0
180	74	180	0
181	74	181	0
182	74	182	0
183	74	183	0
184	74	184	0
185	74	185	0
186	74	186	0
187	74	187	0
188	74	188	0
189	74	189	0
190	74	190	0
191	74	191	0
192	74	192	0
193	74	193	0
194	74	194	0
195	74	195	0
196	74	196	0
197	74	197	0
198	74	198	0
199	74	199	0
200	73,9	200	0
201	73,9	201	0
202	73,9	202	0
203	73,9	203	0
204	73,9	204	0
205	73,9	205	0
206	73,9	206	0
207	73,9	207	0
208	73,9	208	0
209	73,9	209	0
210	73,9	210	0
211	73,9	211	0
212	73,9	212	0
213	73,9	213	0
214	73,9	214	0
215	73,9	215	0
216	73,9	216	0
217	73,9	217	0
218	73,9	218	0
219	73,9	219	0
220	73,9	220	0
221	73,9	221	0
222	73,9	222	0
223	73,9	223	0
224	73,8	224	0
225	73,8	225	0
226	73,8	226	0
227	73,8	227	0
228	73,8	228	0
229	73,8	229	0
230	73,8	230	0
231	73,8	231	0
232	73,8	232	0
233	73,8	233	0
234	73,8	234	0
235	73,8	235	0
236	73,8	236	0
237	73,8	237	0
238	73,8	238	0
239	73,8	239	0
240	73,8	240	0
241	73,8	241	0
242	73,8	242	0
243	73,8	243	0
244	73,8	244	0
245	73,8	245	0
246	73,8	246	0
247	73,8	247	0
248	73,8	248	0
249	73,8	249	0
250	73,8	250	0
251	73,8	251	0
252	73,8	252	0
253	73,8	253	0
254	73,8	254	0
255	73,8	255	0
256	73,8	256	0
257	73,8	257	0
258	73,8	258	0
259	73,8	259	0
260	73,8	260	0
261	73,8	261	0
262	73,8	262	0
263	73,8	263	0
264	73,8	264	0
265	73,8	265	0
266	73,8	266	0
267	73,8	267	0
268	73,8	268	0
269	73,8	269	0
270	73,8	270	0
271	73,8	271	0
272	73,8	272	0
273	73,8	273	0
274	73,8	274	0
275	73,8	275	0
276	73,8	276	0
277	73,8	277	0
278	73,8	278	0
279	73,8	279	0
280	73,6	280	0
281	73,6	281	0
282	73,6	282	0
283	73,6	283	0
284	73,6	284	0
285	73,6	285	0
286	73,6	286	0
287	73,6	287	0
288	73,6	288	0
289	73,6	289	0
290	73,6	290	0
291	73,6	291	0
292	73,6	292	0
293	73,6	293	0
294	73,6	294	0
295	73,6	295	0
296	73,6	296	0
297	73,6	297	0
298	73,6	298	0
299	73,6	299	0
300	73,5	300	0
301	73,5	301	0
302	73,5	302	0
303	73,5	303	0
304	73,5	304	0
305	73,5	305	0
306	73,5	306	0
307	73,5	307	0
308	73,5	308	0
309	73,5	309	0
310	73,5	310	0
311	73,5	311	0
312	73,5	312	0
313	73,5	313	0
314	73,5	314	0
315	73,5	315	0
316	73,5	316	0
317	73,5	317	0
318	73,5	318	0
319	73,5	319	0
320	73,5	320	0
321	73,5	321	0
322	73,5	322	0
323	73,5	323	0
324	73,5	324	0
325	73,5	325	0
326	73,5	326	0
327	73,5	327	0
328	73,4	328	0
329	73,4	329	0
330	73,4	330	0
331	73,4	331	0
332	73,4	332	0
333	73,4	333	0
334	73,4	334	0
335	73,4	335	0
336	73,4	336	0
337	73,4	337	0
338	73,4	338	0
339	73,4	339	0
340	73,4	340	0
341	73,4	341	0
342	73,4	342	0
343	73,4	343	0
344	73,3	344	0
345	73,3	345	0
346	73,3	346	0
347	73,3	347	0
348	73,3	348	0
349	73,3	349	0
350	73,3	350	0
351	73,3	351	0
352	73,3	352	0
353	73,3	353	0
354	73,3	354	0
355	73,1	355	0
356	73,1	356	0
357	73,1	357	0
358	73,1	358	0
359	73,1	359	0
360	73,1	360	0
361	73,1	361	0
362	73,1	362	0
363	73,1	363	0
364	73,1	364	0
365	73,1	365	0
366	73,1	366	0
367	73,1	367	0
368	73,1	368	0
369	73,1	369	0
370	73,1	370	0
371	73	371	0
372	73	372	0
373	73	373	0
374	73	374	0
375	73	375	0
376	73	376	0
377	73	377	0
378	73	378	0
379	73	379	0
380	73	380	0
381	73	381	0
382	73	382	0
383	73	383	0
384	73	384	0
385	73	385	0
386	73	386	0
387	73	387	0
388	73	388	0
389	73	389	0
390	73	390	0
391	73	391	0
392	73	392	0
393	73	393	0
394	73	394	0
395	73	395	0
396	72,9	396	0
397	72,9	397	0
398	72,9	398	0
399	72,9	399	0
400	72,9	400	0
401	72,9	401	0
402	72,9	402	0
403	72,9	403	0
404	72,9	404	0
405	72,9	405	0
406	72,8	406	0
407	72,8	407	0
408	72,8	408	0
409	72,8	409	0
410	72,8	410	0
411	72,8	411	0
412	72,8	412	0
413	72,8	413	0
414	72,8	414	0
415	72,8	415	0
416	72,8	416	0
417	72,8	417	0
418	72,8	418	0
419	72,8	419	0
420	72,8	420	0
421	72,8	421	0
422	72,6	422	0
423	72,6	423	0
424	72,6	424	0
425	72,6	425	0
426	72,6	426	0
427	72,6	427	0
428	72,6	428	0
429	72,6	429	0
430	72,6	430	0
431	72,6	431	0
432	72,5	432	0
433	72,5	433	0
434	72,5	434	0
435	72,5	435	0
436	72,5	436	0
437	72,5	437	0
438	72,5	438	0
439	72,5	439	0
440	72,5	440	0
441	72,5	441	0
442	72,5	442	0
443	72,5	443	0
444	72,5	444	0
445	72,5	445	0
446	72,5	446	0
447	72,5	447	0
448	72,5	448	0
449	72,5	449	0
450	72,5	450	0
451	72,5	451	0
452	72,5	452	0
453	72,5	453	0
454	72,5	454	0
455	72,5	455	0
456	72,4	456	0
457	72,4	457	0
458	72,4	458	0
459	72,4	459	0
460	72,4	460	0
461	72,4	461	0
462	72,4	462	0
463	72,4	463	0
464	72,4	464	0
465	72,4	465	0
466	72,4	466	0
467	72,3	467	0
468	72,3	468	0
469	72,3	469	0
470	72,3	470	0
471	72,3	471	0
472	72,3	472	0
473	72,3	473	0
474	72,3	474	0
475	72,3	475	0
476	72,3	476	0
477	72,3	477	0
478	72,3	478	0
479	72,3	479	0
480	72,3	480	0
481	72,3	481	0
482	72,3	482	0
483	72,1	483	0
484	72,1	484	0
485	72,1	485	0
486	72,1	486	0
487	72,1	487	0
488	72,1	488	0
489	72,1	489	0
490	72,1	490	0
491	72,1	491	0
492	72,1	492	0
493	72,1	493	0
494	72,1	494	0
495	72,1	495	0
496	72,1	496	0
497	72	497	0
498	72	498	0
499	72	499	0
500	72	500	0
501	72	501	0
502	72	502	0
503	72	503	0
504	72	504	0
505	72	505	0
506	72	506	0
507	72	507	0
508	72	508	0
509	72	509	0
510	72	510	0
511	72	511	0
512	72	512	0
513	72	513	0
514	72	514	0
515	72	515	0
516	72	516	0
517	72	517	0
518	72	518	0
519	71,9	519	0
520	71,9	520	0
521	71,9	521	0
522	71,9	522	0
523	71,9	523	0
524	71,9	524	0
525	71,9	525	0
526	71,9	526	0
527	71,9	527	0
528	71,8	528	0
529	71,8	529	0
530	71,8	530	0
531	71,8	531	0
532	71,8	532	0
533	71,8	533	0
534	71,8	534	0
535	71,8	535	0
536	71,6	536	0
537	71,6	537	0
538	71,6	538	0
539	71,6	539	0
540	71,6	540	0
541	71,6	541	0
542	71,6	542	0
543	71,6	543	0
544	71,5	544	0
545	71,5	545	0
546	71,5	546	0
547	71,5	547	0
548	71,5	548	0
549	71,5	549	0
550	71,4	550	0
551	71,4	551	0
552	71,4	552	0
553	71,3	553	0
554	71,3	554	0
555	71,1	555	0
556	71,1	556	0
557	71	557	0
558	71	558	0
559	71	559	0
560	71	560	0
561	70,9	561	0
562	70,9	562	0
563	70,8	563	0
564	70,8	564	0
565	70,6	565	0
566	70,6	566	0
567	70,5	567	0
568	70,5	568	0
569	70,5	569	0
570	70,5	570	0
571	70,4	571	0
572	70,4	572	0
573	70,3	573	0
574	70,3	574	0
575	70,1	575	0
576	70,1	576	0
577	70,1	577	0
578	70	578	0
579	70	579	0
580	70	580	0
581	70	581	0
582	70	582	0
583	69,9	583	0
584	69,9	584	0
585	69,9	585	0
586	69,9	586	0
587	69,8	587	0
588	69,8	588	0
589	69,8	589	0
590	69,8	590	0
591	69,6	591	0
592	69,6	592	0
593	69,6	593	0
594	69,6	594	0
595	69,6	595	0
596	69,6	596	0
597	69,5	597	0
598	69,5	598	0
599	69,5	599	0
600	69,5	600	0
601	69,5	601	0
602	69,5	602	0
603	69,5	603	0
604	69,5	604	0
605	69,5	605	0
606	69,5	606	0
607	69,5	607	0
608	69,5	608	0
609	69,5	609	0
610	69,5	610	0
611	69,5	611	0
612	69,5	612	0
613	69,5	613	0
614	69,5	614	0
615	69,5	615	0
616	69,5	616	0
617	69,5	617	0
618	69,5	618	0
619	69,5	619	0
620	69,5	620	0
621	69,5	621	0
622	69,5	622	0
623	69,5	623	0
624	69,5	624	0
625	69,5	625	0
626	69,5	626	0
627	69,5	627	0
628	69,5	628	0
629	69,5	629	0
630	69,5	630	0
631	69,5	631	0
632	69,5	632	0
633	69,5	633	0
634	69,5	634	0
635	69,5	635	0
636	69,5	636	0
637	69,5	637	0
638	69,5	638	0
639	69,5	639	0
640	69,5	640	0
641	69,5	641	0
642	69,5	642	0
643	69,5	643	0
644	69,5	644	0
645	69,5	645	0
646	69,5	646	0
647	69,5	647	0
648	69,5	648	0
649	69,5	649	0
650	69,5	650	0
651	69,5	651	0
652	69,5	652	0
653	69,5	653	0
654	69,5	654	0
655	69,5	655	0
656	69,6	656	0
657	69,6	657	0
658	69,6	658	0
659	69,6	659	0
660	69,8	660	0
661	69,8	661	0
662	69,8	662	0
663	69,8	663	0
664	69,9	664	0
665	69,9	665	0
666	70	666	0
667	70	667	0
668	70	668	0
669	70	669	0
670	70	670	0
671	70,1	671	0
672	70,1	672	0
673	70,3	673	0
674	70,3	674	0
675	70,4	675	0
676	70,4	676	0
677	70,5	677	0
678	70,5	678	0
679	70,5	679	0
680	70,6	680	0
681	70,6	681	0
682	70,8	682	0
683	70,8	683	0
684	70,9	684	0
685	71	685	0
686	71	686	0
687	71	687	0
688	71,1	688	0
689	71,1	689	0
690	71,3	690	0
691	71,3	691	0
692	71,4	692	0
693	71,5	693	0
694	71,5	694	0
695	71,5	695	0
696	71,6	696	0
697	71,6	697	0
698	71,8	698	0
699	71,9	699	0
700	71,9	700	0
701	72	701	0
702	72	702	0
703	72	703	0
704	72,1	704	0
705	72,3	705	0
706	72,4	706	0
707	72,4	707	0
708	72,5	708	0
709	72,5	709	0
710	72,6	710	0
711	72,6	711	0
712	72,8	712	0
713	72,8	713	0
714	72,9	714	0
715	72,9	715	0
716	73	716	0
717	73	717	0
718	73	718	0
719	73,1	719	0
720	73,1	720	0
721	73,1	721	0
722	73,3	722	0
