Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
2003	73,9	2003	0
2004	73,9	2004	0
2005	74	2005	0
2006	74	2006	0
2007	74	2007	0
2008	74	2008	0
2009	74,1	2009	0
2010	74,1	2010	0
2011	74,3	2011	0
2012	74,3	2012	0
2013	74,4	2013	0
2014	74,4	2014	0
2015	74,5	2015	0
2016	74,5	2016	0
2017	74,5	2017	0
2018	74,5	2018	0
2019	74,6	2019	0
2020	74,6	2020	0
2021	74,8	2021	0
2022	74,8	2022	0
2023	74,9	2023	0
2024	74,9	2024	0
2025	75	2025	0
2026	75	2026	0
2027	75	2027	0
2028	75	2028	0
2029	75,1	2029	0
2030	75,1	2030	0
2031	75,1	2031	0
2032	75,1	2032	0
2033	75,3	2033	0
2034	75,3	2034	0
2035	75,4	2035	0
2036	75,4	2036	0
2037	75,5	2037	0
2038	75,5	2038	0
2039	75,5	2039	0
2040	75,5	2040	0
2041	75,5	2041	0
2042	75,5	2042	0
2043	75,6	2043	0
2044	75,6	2044	0
2045	75,6	2045	0
2046	75,6	2046	0
2047	75,8	2047	0
2048	75,8	2048	0
2049	75,9	2049	0
2050	75,9	2050	0
2051	75,9	2051	0
2052	75,9	2052	0
2053	76	2053	0
2054	76	2054	0
2055	76	2055	0
2056	76	2056	0
2057	76	2057	0
2058	76,1	2058	0
2059	76,1	2059	0
2060	76,1	2060	0
2061	76,3	2061	0
2062	76,3	2062	0
2063	76,4	2063	0
2064	76,4	2064	0
2065	76,4	2065	0
2066	76,4	2066	0
2067	76,5	2067	0
2068	76,5	2068	0
2069	76,5	2069	0
2070	76,5	2070	0
2071	76,5	2071	0
2072	76,6	2072	0
2073	76,6	2073	0
2074	76,6	2074	0
2075	76,8	2075	0
2076	76,8	2076	0
2077	76,9	2077	0
2078	76,9	2078	0
2079	76,9	2079	0
2080	77	2080	0
2081	77	2081	0
2082	77	2082	0
2083	77	2083	0
2084	77	2084	0
2085	77,1	2085	0
2086	77,1	2086	0
2087	77,3	2087	0
2088	77,3	2088	0
2089	77,3	2089	0
2090	77,4	2090	0
2091	77,4	2091	0
2092	77,5	2092	0
2093	77,5	2093	0
2094	77,5	2094	0
2095	77,5	2095	0
2096	77,5	2096	0
2097	77,6	2097	0
2098	77,6	2098	0
2099	77,6	2099	0
2100	77,8	2100	0
2101	77,8	2101	0
2102	77,9	2102	0
2103	77,9	2103	0
2104	78	2104	0
2105	78	2105	0
2106	78	2106	0
2107	78	2107	0
2108	78	2108	0
2109	78,1	2109	0
2110	78,1	2110	0
2111	78,3	2111	0
2112	78,3	2112	0
2113	78,4	2113	0
2114	78,4	2114	0
2115	78,5	2115	0
2116	78,5	2116	0
2117	78,5	2117	0
2118	78,5	2118	0
2119	78,5	2119	0
2120	78,6	2120	0
2121	78,6	2121	0
2122	78,8	2122	0
2123	78,8	2123	0
2124	78,8	2124	0
2125	78,9	2125	0
