Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
831	19,7	831	0
832	19,7	832	0
833	19,7	833	0
834	19,7	834	0
835	19,7	835	0
836	19,7	836	0
837	19,7	837	0
838	19,7	838	0
839	19,7	839	0
840	19,7	840	0
841	19,7	841	0
842	19,7	842	0
843	19,7	843	0
844	19,7	844	0
845	19,7	845	0
846	19,7	846	0
847	19,7	847	0
848	19,7	848	0
849	19,7	849	0
850	19,7	850	0
851	19,7	851	0
852	19,7	852	0
853	19,7	853	0
854	19,7	854	0
855	19,7	855	0
856	19,7	856	0
857	19,7	857	0
858	19,7	858	0
859	19,7	859	0
860	19,7	860	0
861	19,7	861	0
862	19,7	862	0
863	19,7	863	0
864	19,7	864	0
865	19,7	865	0
866	19,7	866	0
867	19,7	867	0
868	19,7	868	0
869	19,6	869	0
870	19,6	870	0
871	19,7	871	0
872	19,7	872	0
873	19,7	873	0
874	19,7	874	0
875	19,7	875	0
876	19,7	876	0
877	19,7	877	0
878	19,7	878	0
879	19,7	879	0
880	19,7	880	0
881	19,7	881	0
882	19,7	882	0
883	19,7	883	0
884	19,7	884	0
885	19,7	885	0
886	19,7	886	0
887	19,7	887	0
888	19,7	888	0
889	19,7	889	0
890	19,7	890	0
891	19,7	891	0
892	19,7	892	0
893	19,7	893	0
894	19,7	894	0
895	19,7	895	0
896	19,7	896	0
897	19,7	897	0
898	19,7	898	0
899	19,7	899	0
900	19,7	900	0
901	19,7	901	0
902	19,7	902	0
903	19,7	903	0
904	19,7	904	0
905	19,7	905	0
906	19,7	906	0
907	19,7	907	0
908	19,7	908	0
909	19,7	909	0
910	19,7	910	0
911	19,7	911	0
912	19,7	912	0
913	19,7	913	0
914	19,7	914	0
915	19,7	915	0
916	19,7	916	0
917	19,7	917	0
918	19,7	918	0
919	19,7	919	0
920	19,7	920	0
921	19,7	921	0
922	19,7	922	0
923	19,7	923	0
924	19,7	924	0
925	19,7	925	0
926	19,7	926	0
927	19,7	927	0
928	19,7	928	0
929	19,7	929	0
930	19,7	930	0
931	19,7	931	0
932	19,7	932	0
933	19,7	933	0
934	19,7	934	0
935	19,7	935	0
936	19,7	936	0
937	19,7	937	0
938	19,7	938	0
939	19,7	939	0
940	19,7	940	0
941	19,7	941	0
942	19,7	942	0
943	19,7	943	0
944	19,7	944	0
945	19,7	945	0
946	19,7	946	0
947	19,7	947	0
948	19,7	948	0
949	19,7	949	0
950	19,7	950	0
951	19,7	951	0
952	19,7	952	0
953	19,7	953	0
954	19,7	954	0
955	19,6	955	0
956	19,6	956	0
957	19,6	957	0
958	19,6	958	0
959	19,6	959	0
960	19,6	960	0
961	19,6	961	0
962	19,6	962	0
963	19,6	963	0
964	19,6	964	0
965	19,6	965	0
966	19,6	966	0
967	19,6	967	0
968	19,6	968	0
969	19,6	969	0
970	19,6	970	0
971	19,6	971	0
972	19,7	972	0
973	19,7	973	0
974	19,7	974	0
975	19,7	975	0
976	19,7	976	0
977	19,7	977	0
978	19,7	978	0
979	19,7	979	0
980	19,7	980	0
981	19,7	981	0
982	19,7	982	0
983	19,7	983	0
984	19,7	984	0
985	19,7	985	0
986	19,7	986	0
987	19,7	987	0
988	19,7	988	0
989	19,7	989	0
990	19,7	990	0
991	19,7	991	0
992	19,7	992	0
993	19,7	993	0
994	19,7	994	0
995	19,7	995	0
996	19,7	996	0
997	19,7	997	0
998	19,7	998	0
999	19,7	999	0
1000	19,7	1000	0
1001	19,7	1001	0
1002	19,7	1002	0
1003	19,8	1003	0
1004	19,8	1004	0
1005	19,8	1005	0
