Time - Plot 0	Temperatura - Plot 0
0	93,2
1	93,7
2	94
3	94,4
4	94,7
5	94,9
6	95,1
7	95,3
8	95,7
9	95,8
10	95,9
11	95,9
12	95,8
13	95,9
14	96
15	96,2
16	96,3
17	96,2
18	96,3
19	96,3
20	96,3
21	96,3
22	96,2
23	96,2
24	96,2
25	96,3
26	96,2
27	96,1
28	96,1
29	96,1
30	96
31	96
32	96
33	96
34	95,9
35	95,8
36	95,9
37	95,8
38	95,8
39	95,9
40	95,8
41	95,7
42	95,7
43	95,7
44	95,7
45	95,7
46	95,6
47	95,5
48	95,4
49	95,4
50	95,4
51	95,4
52	95,4
53	95,3
54	95,2
55	95,2
56	95,2
57	95,2
58	95,1
59	95,1
60	95,2
61	95,1
62	95
63	95,1
64	95
65	95
66	94,9
67	94,8
68	94,7
69	94,7
70	94,7
71	94,6
72	94,6
73	94,6
74	94,6
75	94,6
76	94,6
77	94,5
78	94,6
79	94,6
80	94,5
81	94,5
82	94,5
83	94,5
84	94,5
85	94,5
86	94,6
87	94,6
88	94,7
89	94,9
90	95,1
91	95,2
92	95,4
93	95,7
94	95,9
95	96,2
96	96,5
97	96,7
98	96,9
99	97,3
100	97,5
101	97,8
102	98,2
103	98,5
104	98,9
105	99,3
106	99,5
107	99,8
108	100,2
109	100,5
110	100,7
111	101,1
112	101,3
113	101,5
114	101,9
115	102,1
116	102,4
117	102,6
118	102,9
119	103,2
120	103,3
121	103,6
122	103,8
123	104
124	104,2
125	104,4
126	104,5
127	104,7
128	105
129	105,2
130	105,3
131	105,6
132	105,9
133	106
134	106,1
135	106,2
136	106,5
137	106,7
138	106,8
139	107
140	107,2
141	107,3
142	107,4
143	107,6
144	107,9
145	108
146	108,1
147	108,1
148	108,3
149	108,5
150	108,7
151	108,9
152	109,2
153	109,4
154	109,7
155	109,9
156	110,1
157	110,3
158	110,6
159	110,9
160	111,1
161	111,3
162	111,4
163	111,5
164	111,8
165	112
166	112,2
167	112,3
168	112,6
169	112,7
170	112,8
171	112,9
172	113,2
173	113,4
174	113,5
175	113,6
176	113,9
177	114,1
178	114,1
179	114,1
180	114,3
181	114,6
182	114,8
183	114,9
184	115
185	115,1
186	115,3
187	115,4
188	115,4
189	115,5
190	115,6
191	115,6
192	115,8
193	116
194	116,1
195	116,2
196	116,3
197	116,4
198	116,6
199	116,8
200	116,9
201	116,9
202	117
203	117,3
204	117,3
205	117,3
206	117,5
207	117,6
208	117,7
209	117,9
210	118,1
211	118,2
212	118,3
213	118,3
214	118,4
215	118,5
216	118,7
217	118,8
218	118,9
219	118,9
220	118,9
221	119
222	119,2
223	119,4
224	119,5
225	119,5
226	119,7
227	119,7
228	119,7
229	119,8
230	120
231	120,1
232	120,2
233	120,3
234	120,4
235	120,4
236	120,6
237	120,7
238	120,7
239	120,8
240	120,8
241	120,9
242	121
243	121
244	121,2
245	121,3
246	121,4
247	121,5
248	121,5
249	121,5
250	121,6
251	121,7
252	121,7
253	121,7
254	121,6
255	121,6
256	121,7
257	121,7
258	121,8
259	121,9
260	122
261	122
262	122
263	122,1
264	122
265	122
266	122,1
267	122,1
268	122,1
269	122,1
270	122
271	122,1
272	122
273	121,9
274	122
275	121,9
276	121,8
277	121,8
278	121,8
279	121,7
280	121,6
281	121,7
282	121,7
283	121,6
284	121,6
285	121,6
286	121,6
287	121,4
288	121,5
289	121,6
290	121,5
291	121,5
292	121,4
293	121,4
294	121,3
295	121,3
296	121,4
297	121,4
298	121,3
299	121,2
300	121,2
301	121,1
302	121,1
303	121,1
304	121
305	121
306	121
307	121
308	121
309	121
310	120,9
311	120,9
312	120,9
313	120,9
314	120,9
315	120,8
316	120,7
317	120,7
318	120,6
319	120,7
320	120,8
321	120,7
322	120,6
323	120,5
324	120,6
325	120,7
326	120,7
327	120,6
328	120,6
329	120,6
330	120,7
331	120,7
332	120,6
333	120,5
334	120,5
335	120,6
336	120,6
337	120,5
338	120,5
339	120,6
340	120,7
341	120,7
342	120,6
343	120,5
344	120,6
345	120,7
346	120,8
347	120,8
348	120,7
349	120,7
350	120,8
351	120,8
352	120,8
353	120,8
354	120,8
355	120,9
356	120,8
357	120,9
358	120,9
359	120,9
360	121
361	121
362	121
363	120,9
364	121
365	121
366	121
367	121
368	120,9
369	121
370	121
371	121,1
372	121,1
373	121
374	121,1
375	121,2
