Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	41,2	0	61
1	41,2	1	62
2	41,2	2	62
3	41,2	3	62
4	41,2	4	62
5	41,2	5	61
6	41,2	6	60
7	41,2	7	60
8	41,2	8	61
9	41,2	9	61
10	41,2	10	60
11	41,2	11	61
12	41,2	12	61
13	41,2	13	61
14	41,2	14	61
15	41,2	15	61
16	41,2	16	60
17	41,4	17	60
18	41,4	18	60
19	41,4	19	61
20	41,4	20	61
21	41,4	21	62
22	41,5	22	61
23	41,5	23	61
24	41,5	24	62
25	41,5	25	62
26	41,5	26	61
27	41,7	27	61
28	41,7	28	59
29	41,7	29	60
30	41,9	30	60
31	41,9	31	61
32	42	32	61
33	42	33	61
34	42,2	34	61
35	42,2	35	61
36	42,4	36	61
37	42,5	37	60
38	42,5	38	62
39	42,7	39	62
40	42,7	40	61
41	43	41	61
42	43	42	61
43	43,2	43	61
44	43,2	44	61
45	43,5	45	61
46	43,5	46	61
47	43,7	47	61
48	43,7	48	61
49	43,9	49	61
50	44	50	61
51	44,2	51	61
52	44,2	52	62
53	44,4	53	61
54	44,5	54	61
55	44,7	55	61
56	44,7	56	61
57	44,9	57	62
58	45	58	61
59	45,2	59	61
60	45,2	60	61
61	45,5	61	61
62	45,5	62	61
63	45,7	63	61
64	45,7	64	61
65	45,9	65	61
66	46	66	62
67	46	67	62
68	46,2	68	61
69	46,2	69	61
70	46,4	70	61
71	46,5	71	60
72	46,7	72	61
73	46,7	73	62
74	46,9	74	61
75	47	75	61
76	47	76	61
77	47,2	77	61
78	47,2	78	61
79	47,4	79	62
80	47,5	80	62
81	47,5	81	62
82	47,7	82	61
83	47,7	83	61
84	47,9	84	61
85	48	85	61
86	48	86	61
87	48,2	87	61
88	48,2	88	61
89	48,4	89	61
90	48,5	90	61
91	48,5	91	61
92	48,5	92	61
93	48,7	93	62
94	48,9	94	62
95	49	95	61
96	49	96	61
97	49,2	97	61
98	49,2	98	61
99	49,4	99	61
100	49,5	100	61
101	49,5	101	61
102	49,7	102	61
103	49,7	103	62
104	49,9	104	62
105	49,9	105	62
106	50	106	62
107	50	107	62
108	50,2	108	61
109	50,2	109	60
110	50,2	110	60
111	50,4	111	61
112	50,5	112	61
113	50,5	113	61
114	50,7	114	61
115	50,7	115	61
116	50,9	116	61
117	51	117	61
118	51	118	60
119	51,2	119	61
120	51,2	120	60
121	51,4	121	61
122	51,5	122	62
123	51,5	123	61
124	51,5	124	62
125	51,7	125	61
126	51,7	126	61
127	51,9	127	61
128	52	128	61
129	52	129	60
130	52	130	61
131	52,2	131	60
132	52,2	132	61
133	52,2	133	61
134	52,4	134	61
135	52,5	135	61
136	52,5	136	61
137	52,5	137	60
138	52,7	138	61
139	52,7	139	60
140	52,9	140	60
141	53	141	61
142	53	142	61
143	53	143	61
144	53,2	144	61
145	53,2	145	61
146	53,2	146	61
147	53,2	147	60
148	53,4	148	61
149	53,4	149	60
150	53,5	150	60
151	53,5	151	61
152	53,5	152	60
153	53,5	153	60
154	53,5	154	60
155	53,7	155	60
156	53,7	156	61
157	53,7	157	62
158	53,7	158	62
159	53,9	159	62
160	53,9	160	62
161	53,9	161	61
162	54	162	61
163	54	163	61
164	54	164	61
165	54,2	165	61
166	54,2	166	61
167	54,2	167	61
168	54,2	168	61
169	54,4	169	61
170	54,5	170	61
171	54,5	171	61
172	54,5	172	60
173	54,7	173	61
174	54,7	174	61
175	54,7	175	61
176	54,9	176	61
177	55	177	60
178	55	178	60
179	55,2	179	61
180	55,2	180	61
181	55,2	181	60
182	55,4	182	60
183	55,5	183	61
184	55,5	184	61
185	55,7	185	61
186	55,7	186	61
187	55,7	187	61
188	55,9	188	61
189	55,9	189	62
190	56	190	61
191	56	191	61
192	56,2	192	62
193	56,2	193	62
194	56,2	194	62
195	56,4	195	62
196	56,5	196	62
197	56,5	197	61
198	56,7	198	60
199	56,7	199	61
200	56,9	200	61
201	57	201	61
202	57	202	61
203	57,2	203	61
204	57,2	204	61
205	57,2	205	61
206	57,4	206	60
207	57,5	207	60
208	57,7	208	60
209	57,7	209	61
210	57,9	210	62
211	58	211	62
212	58	212	62
213	58,2	213	62
214	58,2	214	62
215	58,4	215	62
216	58,5	216	62
217	58,7	217	61
218	58,9	218	62
219	59	219	62
220	59,2	220	62
221	59,4	221	63
222	59,5	222	63
223	59,7	223	63
224	59,9	224	62
225	60	225	62
226	60,2	226	63
227	60,5	227	63
228	60,7	228	63
229	60,7	229	62
230	61	230	62
231	61,2	231	62
