Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
0	62,5	0	59						
1	62,5	1	59						
2	62,5	2	60						
3	62,7	3	61						
4	62,7	4	61						
5	62,7	5	62						
6	62,7	6	63						
7	62,9	7	63						
8	62,9	8	63						
9	63	9	63						
10	63	10	63						
11	63	11	63						
12	63	12	63						
13	63	13	63						
14	63	14	63						
15	63,2	15	62						
16	63,2	16	62						121,8
17	63,2	17	61						
18	63,2	18	61						
19	63,2	19	60						
20	63,4	20	59						
21	63,4	21	59						
22	63,5	22	59						
23	63,5	23	59						
24	63,5	24	60						
25	63,5	25	61						
26	63,5	26	63						
27	63,5	27	64						
28	63,7	28	62						
29	63,7	29	62						
30	63,7	30	63						
31	63,7	31	64						
32	63,7	32	63						
33	63,9	33	62						
34	63,9	34	62						
35	63,9	35	62						
36	64	36	61						
37	64	37	61						
38	64	38	61						
39	64	39	61						
40	64	40	61						
41	64	41	60						
42	64,1	42	60						
43	64,1	43	60						
44	64,1	44	61						
45	64,3	45	61						
46	64,3	46	62						
47	64,3	47	62						
48	64,4	48	62						
49	64,4	49	63						
50	64,4	50	63						
51	64,5	51	64						
52	64,5	52	64						
53	64,5	53	63						
54	64,5	54	63						
55	64,5	55	63						
56	64,5	56	63						
57	64,6	57	63						
58	64,6	58	64						
59	64,6	59	64						
60	64,6	60	63						
61	64,8	61	63						
62	64,8	62	62						
63	64,9	63	61						
64	64,9	64	60						
65	64,9	65	61						
66	65	66	61						
67	65	67	61						
68	65	68	61						
69	65	69	60						
70	65,1	70	60						
71	65,1	71	60						
72	65,1	72	60						
73	65,3	73	59						
74	65,3	74	61						
75	65,4	75	61						
76	65,4	76	61						
77	65,5	77	62						
78	65,5	78	62						
79	65,5	79	63						
80	65,6	80	64						
81	65,8	81	64						
82	65,9	82	64						
83	66	83	65						
84	66	84	65						
85	66,1	85	65						
86	66,3	86	64						
87	66,5	87	63						
88	66,5	88	63						
89	66,6	89	63						
90	66,9	90	63						
91	67	91	62						
92	67,1	92	62						
93	67,3	93	61						
94	67,5	94	61						
95	67,5	95	62						
96	67,8	96	61						
97	68	97	62						
98	68	98	62						
99	68,3	99	62						
100	68,4	100	63						
101	68,5	101	63						
102	68,6	102	64						
103	68,9	103	64						
104	69	104	65						
105	69	105	65						
106	69,3	106	65						
107	69,4	107	65						
108	69,5	108	65						
109	69,6	109	64						
110	69,8	110	64						
111	70	111	63						
112	70,1	112	64						
113	70,3	113	64						
114	70,4	114	64						
115	70,5	115	63						
116	70,6	116	63						
117	70,8	117	62						
118	70,9	118	61						
119	71	119	61						
120	71	120	61						
121	71,3	121	61						
122	71,4	122	62						
123	71,5	123	63						
124	71,5	124	62						
125	71,6	125	63						
126	71,8	126	63						
127	71,9	127	63						
128	72	128	63						
129	72	129	64						
130	72,1	130	64						
131	72,3	131	65						
132	72,5	132	65						
133	72,5	133	65						
134	72,8	134	65						
135	72,9	135	64						
136	73	136	63						
137	73,1	137	62						
138	73,3	138	61						
139	73,4	139	61						
140	73,5	140	64						
141	73,6	141	66						
142	73,8	142	66						
143	74	143	65						
144	74	144	65						
145	74,3	145	64						
146	74,5	146	64						
147	74,5	147	63						
148	74,8	148	64						
149	75	149	64						
150	75,1	150	65						
151	75,3	151	68						
152	75,5	152	68						
153	75,5	153	67						
154	75,8	154	66						
155	76	155	66						
156	76,1	156	65						
157	76,4	157	64						
158	76,5	158	65						
159	76,8	159	67						
160	77	160	68						
161	77	161	68						
162	77,3	162	67						
163	77,5	163	67						
164	77,6	164	68						
165	77,9	165	67						
166	78	166	66						
167	78,1	167	64						
168	78,4	168	65						
169	78,5	169	66						
170	78,8	170	67						
171	79	171	68						
172	79	172	68						
173	79,3	173	67						
174	79,4	174	66						
175	79,5	175	65						
176	79,5	176	66						
177	79,8	177	66						
178	79,9	178	67						
179	80	179	68						
180	80	180	69						
181	80,1	181	69						
182	80,3	182	68						
183	80,3	183	67						
184	80,4	184	67						
185	80,5	185	66						
186	80,5	186	65						
187	80,5	187	65						
188	80,6	188	67						
189	80,8	189	68						
190	80,9	190	69						
191	81	191	69						
192	81	192	68						
193	81	193	68						
194	81,1	194	66						
195	81,3	195	65						
196	81,4	196	66						
197	81,5	197	68						
198	81,6	198	69						
199	81,8	199	68						
200	81,9	200	68						
201	82	201	67						
202	82,1	202	66						
203	82,1	203	67						
204	82,3	204	69						
205	82,5	205	69						
206	82,5	206	69						
207	82,6	207	68						
208	82,8	208	67						
209	82,9	209	68						
210	83	210	69						
211	83	211	70						
212	83,1	212	70						
213	83,4	213	69						
214	83,5	214	67						
215	83,5	215	67						
216	83,5	216	68						
217	83,8	217	69						
218	83,8	218	70						
219	83,9	219	69						
220	84	220	68						
221	84	221	68						
222	84,1	222	68						
223	84,3	223	69						
224	84,4	224	70						
225	84,5	225	70						
226	84,5	226	69						
227	84,6	227	68						
228	84,8	228	68						
229	84,9	229	69						
230	84,9	230	70						
231	85	231	70						
232	85	232	69						
233	85,1	233	68						
234	85,3	234	67						
235	85,4	235	67						
236	85,5	236	69						
237	85,5	237	70						
238	85,6	238	70						
239	85,8	239	70						
240	85,9	240	69						
241	86	241	69						
242	86	242	69						
243	86,1	243	68						
244	86,3	244	69						
245	86,4	245	71						
246	86,5	246	71						
247	86,5	247	71						
248	86,6	248	70						
249	86,6	249	68						
250	86,8	250	68						
251	87	251	70						
252	87	252	70						
253	87	253	72						
254	87,1	254	72						
255	87,3	255	72						
256	87,4	256	71						
257	87,5	257	71						
258	87,5	258	71						
259	87,6	259	70						
260	87,8	260	70						
261	87,9	261	70						
262	87,9	262	71						
263	88	263	72						
264	88	264	73						
265	88,1	265	72						
266	88,3	266	70						
267	88,4	267	70						
268	88,4	268	70						
269	88,5	269	72						
270	88,5	270	73						
271	88,6	271	73						
272	88,8	272	72						
273	88,9	273	70						
274	88,9	274	70						
275	89	275	72						
276	89	276	74						
277	89	277	74						
278	89,1	278	72						
279	89,3	279	71						
280	89,4	280	71						
281	89,5	281	73						
282	89,5	282	74						
283	89,5	283	74						
284	89,6	284	74						
285	89,8	285	73						
286	89,9	286	72						
287	89,9	287	74						
288	90	288	75						
289	90	289	75						
290	90	290	74						
291	90,1	291	72						
292	90,3	292	72						
293	90,3	293	73						
294	90,4	294	75						
295	90,5	295	75						
296	90,5	296	74						
297	90,5	297	73						
298	90,5	298	74						
299	90,6	299	75						
300	90,8	300	75						
301	90,9	301	75						
302	90,9	302	74						
303	91	303	72						
304	91	304	73						
305	91,1	305	75						
306	91,1	306	75						
307	91,3	307	76						
308	91,4	308	76						
309	91,5	309	74						
310	91,5	310	74						
311	91,6	311	75						
312	91,6	312	76						
313	91,8	313	77						
314	91,9	314	77						
315	92	315	76						
316	92	316	75						
317	92	317	74						
318	92,1	318	75						
319	92,3	319	76						
320	92,3	320	77						
321	92,4	321	79						
322	92,5	322	79						
323	92,5	323	78						
324	92,5	324	77						
325	92,6	325	75						
326	92,8	326	75						
327	92,8	327	75						
328	92,9	328	77						
329	93	329	79						
330	93	330	79						
331	93,1	331	79						
332	93,1	332	79						
333	93,3	333	78						
334	93,4	334	79						
335	93,4	335	80						
336	93,5	336	78						
337	93,5	337	76						
338	93,6	338	76						
339	93,6	339	77						
340	93,8	340	78						
341	93,9	341	80						
342	93,9	342	81						
343	94	343	81						
344	94	344	80						
345	94	345	81						
346	94,1	346	82						
347	94,3	347	81						
348	94,3	348	80						
349	94,3	349	79						
350	94,4	350	78						
351	94,4	351	79						
352	94,5	352	80						
353	94,5	353	82						
354	94,5	354	82						
355	94,6	355	81						
356	94,8	356	80						
357	94,8	357	81						
358	94,9	358	81						
359	94,9	359	81						
360	95	360	82						
361	95	361	83						
362	95	362	82						
363	95	363	80						
364	95	364	79						
365	95	365	80						
366	95,1	366	82						
367	95,1	367	83						
368	95,1	368	84						
369	95,3	369	82						
370	95,3	370	81						
371	95,3	371	79						
372	95,3	372	81						
373	95,4	373	83						
374	95,4	374	84						
375	95,4	375	84						
376	95,4	376	83						
377	95,5	377	82						
378	95,5	378	81						
379	95,5	379	83						
380	95,5	380	85						
381	95,5	381	84						
382	95,6	382	82						
383	95,6	383	82						
384	95,8	384	82						
385	95,8	385	84						
386	95,9	386	85						
387	95,9	387	85						
388	96	388	83						
389	96	389	82						
390	96	390	83						
391	96	391	85						
392	96,1	392	87						
393	96,1	393	87						
394	96,3	394	85						
395	96,4	395	83						
396	96,4	396	83						
397	96,4	397	83						
398	96,5	398	84						
399	96,5	399	85						
400	96,5	400	86						
401	96,6	401	87						
402	96,6	402	86						
403	96,6	403	85						
404	96,8	404	85						
405	96,8	405	85						
406	96,8	406	84						
407	96,9	407	84						
408	96,9	408	84						
409	96,9	409	86						
410	96,9	410	88						
411	96,9	411	88						
412	96,9	412	88						
413	96,9	413	87						
414	97	414	86						
415	97	415	85						
416	97	416	85						
417	97	417	85						
418	97	418	86						
419	97	419	87						
420	97	420	88						
421	97	421	89						
422	97,1	422	89						
423	97,1	423	88						
424	97,1	424	88						
425	97,3	425	89						
426	97,4	426	88						
427	97,4	427	88						
428	97,5	428	91						
429	97,6	429	92						
430	97,8	430	93						
431	98	431	93						
432	98,3	432	92						
433	98,5	433	91						
434	98,6	434	91						
435	99	435	91						
436	99,1	436	91						
437	99,5	437	92						
438	99,6	438	94						
439	99,9	439	95						
440	100	440	96						
441	100,1	441	96						
442	100,4	442	95						
443	100,5	443	95						
444	100,8	444	95						
445	101	445	94						
446	101,1	446	94						
447	101,3	447	95						
448	101,4	448	96						
449	101,5	449	98						
450	101,5	450	98						
451	101,5	451	99						
452	101,6	452	99						
453	101,8	453	97						
454	101,9	454	97						
455	102	455	97						
456	102,1	456	97						
457	102,4	457	99						
458	102,5	458	100						
459	102,8	459	101						
460	103	460	102						
461	103,1	461	101						
462	103,3	462	100						
463	103,5	463	100						
464	103,5	464	100						
465	103,8	465	101						
466	103,9	466	102						
467	104	467	104						
468	104,1	468	104						
469	104,4	469	104						
470	104,5	470	103						
471	104,5	471	102						
472	104,8	472	102						
473	104,8	473	103						
474	104,9	474	104						
475	105	475	105						
476	105	476	107						
477	105	477	107						
478	105,1	478	105						
479	105,1	479	103						
480	105,1	480	102						
481	105,3	481	102						
482	105,3	482	103						
483	105,3	483	105						
484	105,3	484	107						
485	105,3	485	106						
486	105,1	486	104						
487	105,1	487	103						
488	105,1	488	104						
489	105,1	489	104						
490	105,1	490	105						
491	105,3	491	107						
492	105,3	492	108						
493	105,4	493	108						
494	105,5	494	108						
495	105,5	495	108						
496	105,5	496	107						
497	105,6	497	107						
498	105,8	498	107						
499	105,9	499	109						
500	106	500	111						
501	106	501	112						
502	106,3	502	113						
503	106,4	503	114						
504	106,5	504	113						
505	106,6	505	112						
506	106,8	506	112						
507	106,9	507	111						
508	107	508	111						
509	107	509	111						
510	107,1	510	111						
511	107,1	511	112						
512	107,3	512	113						
513	107,4	513	114						
514	107,5	514	113						
515	107,5	515	113						
516	107,6	516	114						
517	107,8	517	115						
518	107,9	518	116						
519	107,9	519	117						
520	108	520	118						
521	108	521	118						
522	108,1	522	119						
523	108,3	523	120						
524	108,4	524	119						
525	108,5	525	118						
