Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	16	0	59
1	16	1	59
2	16	2	60
3	16	3	60
4	16	4	60
5	16	5	61
6	16	6	60
7	16	7	60
8	16	8	60
9	16	9	60
10	16	10	60
11	16,1	11	60
12	16,1	12	60
13	16,1	13	60
14	16,1	14	59
15	16,1	15	59
16	16,1	16	59
17	16,1	17	60
18	16,1	18	60
19	16,1	19	60
20	16,1	20	59
21	16,2	21	59
22	16,2	22	60
23	16,2	23	61
24	16,2	24	60
25	16,2	25	60
26	16,2	26	59
27	16,2	27	60
28	16,2	28	60
29	16,2	29	61
30	16,2	30	60
31	16,2	31	59
32	16,3	32	59
33	16,3	33	59
34	16,3	34	60
35	16,3	35	59
36	16,5	36	60
37	16,5	37	60
38	16,5	38	60
39	16,5	39	60
40	16,6	40	60
41	16,6	41	60
42	16,6	42	59
43	16,7	43	59
44	16,7	44	60
45	16,7	45	60
46	16,7	46	60
47	16,7	47	60
48	16,7	48	60
49	16,7	49	60
50	16,8	50	60
51	16,8	51	60
52	16,8	52	61
53	16,8	53	60
54	17	54	59
55	17	55	59
56	17	56	59
57	17,1	57	59
58	17,1	58	60
59	17,1	59	60
60	17,2	60	60
61	17,2	61	60
62	17,2	62	60
63	17,2	63	60
64	17,2	64	60
65	17,2	65	60
66	17,2	66	60
67	17,3	67	60
68	17,3	68	60
69	17,3	69	61
70	17,5	70	61
71	17,5	71	61
72	17,5	72	61
73	17,6	73	61
74	17,6	74	61
75	17,7	75	60
76	17,7	76	60
77	17,7	77	61
78	17,7	78	60
79	17,7	79	60
80	17,7	80	60
81	17,8	81	60
82	17,8	82	61
83	18	83	60
84	18	84	60
85	18	85	59
86	18,1	86	60
87	18,1	87	60
88	18,2	88	60
89	18,2	89	60
90	18,2	90	59
91	18,2	91	59
92	18,2	92	60
93	18,3	93	60
94	18,3	94	60
95	18,5	95	60
96	18,5	96	60
97	18,6	97	60
98	18,6	98	60
99	18,7	99	60
100	18,7	100	60
101	18,7	101	60
102	18,7	102	61
103	18,8	103	60
104	18,8	104	60
105	19	105	60
106	19	106	61
107	19,1	107	60
108	19,1	108	60
109	19,2	109	59
110	19,2	110	60
111	19,2	111	60
112	19,3	112	60
113	19,3	113	60
114	19,5	114	60
115	19,5	115	60
116	19,6	116	60
117	19,7	117	60
118	19,7	118	59
119	19,7	119	60
120	19,8	120	60
121	19,8	121	59
122	20	122	59
123	20,1	123	59
124	20,1	124	60
125	20,2	125	60
126	20,2	126	60
127	20,2	127	59
128	20,3	128	60
129	20,5	129	60
130	20,5	130	60
131	20,6	131	61
132	20,6	132	61
133	20,7	133	61
134	20,7	134	60
135	20,7	135	59
136	20,8	136	59
137	20,8	137	59
138	21	138	60
139	21	139	60
140	21,1	140	60
141	21,1	141	61
142	21,2	142	60
143	21,2	143	59
144	21,2	144	59
145	21,3	145	60
146	21,5	146	60
147	21,6	147	60
148	21,7	148	60
149	21,7	149	60
150	21,7	150	60
151	21,8	151	59
152	22	152	60
153	22,1	153	60
154	22,2	154	60
155	22,2	155	59
156	22,2	156	59
157	22,3	157	60
158	22,5	158	59
159	22,6	159	60
160	22,7	160	60
161	22,7	161	60
162	22,7	162	60
163	22,8	163	60
164	23	164	60
165	23,1	165	60
166	23,2	166	61
167	23,2	167	61
168	23,3	168	60
169	23,5	169	60
170	23,6	170	60
171	23,6	171	59
172	23,7	172	59
173	23,7	173	59
174	23,8	174	60
175	24	175	60
176	24,1	176	61
177	24,2	177	61
178	24,2	178	60
179	24,3	179	60
180	24,5	180	60
181	24,6	181	60
182	24,7	182	60
183	24,7	183	60
184	24,8	184	61
185	25	185	60
186	25,1	186	60
187	25,2	187	59
188	25,2	188	60
189	25,3	189	60
190	25,5	190	60
191	25,5	191	60
192	25,6	192	60
193	25,7	193	60
194	25,7	194	60
195	25,8	195	60
196	26	196	60
197	26,1	197	60
198	26,2	198	59
199	26,2	199	60
200	26,3	200	61
201	26,5	201	61
202	26,6	202	60
203	26,7	203	60
204	26,7	204	60
205	26,8	205	60
206	27	206	60
207	27,1	207	60
208	27,2	208	60
209	27,2	209	60
210	27,3	210	59
211	27,5	211	60
212	27,6	212	59
213	27,7	213	59
214	27,7	214	59
215	27,8	215	59
216	27,8	216	59
217	28	217	60
218	28,1	218	60
219	28,2	219	59
220	28,2	220	60
221	28,5	221	60
222	28,6	222	61
223	28,7	223	60
224	28,7	224	59
225	28,8	225	59
226	29	226	60
227	29,2	227	61
228	29,2	228	60
229	29,3	229	60
230	29,5	230	60
231	29,6	231	60
232	29,7	232	60
233	29,7	233	60
234	29,8	234	60
235	30	235	60
236	30,2	236	59
237	30,2	237	60
238	30,3	238	60
239	30,5	239	59
240	30,6	240	58
241	30,7	241	59
242	30,7	242	60
243	30,8	243	60
244	31,1	244	60
245	31,2	245	60
246	31,2	246	60
247	31,3	247	59
248	31,5	248	59
249	31,6	249	60
250	31,7	250	60
251	31,8	251	59
252	32	252	59
253	32	253	60
254	32,2	254	60
255	32,2	255	60
256	32,4	256	60
257	32,5	257	60
258	32,5	258	61
259	32,7	259	61
260	32,7	260	61
261	32,9	261	61
262	33	262	60
263	33	263	59
264	33,2	264	59
265	33,2	265	59
266	33,4	266	59
267	33,5	267	60
268	33,5	268	60
269	33,7	269	60
270	33,7	270	60
271	33,9	271	60
272	34	272	59
273	34,2	273	59
274	34,2	274	60
275	34,4	275	60
276	34,5	276	61
277	34,5	277	61
278	34,7	278	60
279	34,7	279	60
280	34,9	280	60
281	35	281	61
282	35,2	282	61
283	35,2	283	61
284	35,4	284	61
285	35,5	285	60
286	35,5	286	60
287	35,7	287	60
288	35,7	288	60
289	35,7	289	60
290	35,9	290	60
291	36	291	60
292	36	292	60
293	36,2	293	59
294	36,2	294	60
295	36,2	295	60
296	36,4	296	59
297	36,5	297	60
298	36,5	298	60
299	36,7	299	60
300	36,7	300	60
301	36,7	301	60
302	36,9	302	61
303	37	303	61
304	37	304	60
305	37	305	59
306	37,2	306	59
307	37,2	307	59
308	37,4	308	60
309	37,5	309	60
310	37,5	310	60
311	37,7	311	59
312	37,7	312	60
313	38	313	60
314	38	314	60
315	38,2	315	60
316	38,2	316	61
317	38,5	317	60
318	38,5	318	60
319	38,7	319	60
320	38,7	320	61
321	39	321	61
322	39	322	61
323	39,2	323	60
324	39,2	324	60
325	39,4	325	60
326	39,5	326	61
327	39,5	327	60
328	39,7	328	59
329	39,7	329	60
330	39,9	330	61
331	40	331	60
332	40	332	60
333	40	333	60
334	40,2	334	60
335	40,2	335	60
336	40,4	336	60
337	40,5	337	60
338	40,7	338	60
339	40,7	339	60
340	40,9	340	60
341	41	341	60
342	41	342	61
343	41,2	343	62
344	41,5	344	62
345	41,5	345	62
346	41,7	346	61
347	42	347	60
