Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
0	54	0	60
1	54	1	60
2	54	2	60
3	54	3	60
4	54,2	4	59
5	54,2	5	59
6	54,2	6	60
7	54,2	7	60
8	54,2	8	60
9	54,2	9	60
10	54,2	10	60
11	54,2	11	60
12	54,2	12	60
13	54,4	13	60
14	54,4	14	60
15	54,4	15	60
16	54,4	16	59
17	54,5	17	60
18	54,5	18	60
19	54,5	19	61
20	54,5	20	60
21	54,5	21	60
22	54,5	22	60
23	54,5	23	60
24	54,5	24	60
25	54,5	25	60
26	54,7	26	60
27	54,7	27	60
28	54,7	28	60
29	54,7	29	60
30	54,7	30	60
31	54,7	31	60
32	54,7	32	59
33	54,7	33	59
34	54,7	34	59
35	54,7	35	60
36	54,7	36	59
37	54,7	37	59
38	54,9	38	59
39	54,9	39	59
40	54,9	40	59
41	54,9	41	60
42	54,9	42	61
43	54,9	43	60
44	54,9	44	60
45	54,9	45	60
46	55	46	60
47	55	47	60
48	55	48	59
49	55	49	60
50	55	50	60
51	55	51	60
52	55	52	60
53	55	53	59
54	55	54	59
55	55	55	60
56	55	56	61
57	55	57	60
58	55	58	60
59	55,2	59	61
60	55,2	60	61
61	55,2	61	60
62	55,2	62	60
63	55,2	63	60
64	55,2	64	60
65	55,2	65	60
66	55,2	66	60
67	55,2	67	60
68	55,2	68	60
69	55,2	69	60
70	55,2	70	60
71	55,2	71	60
72	55,2	72	60
73	55,2	73	60
74	55,4	74	59
75	55,4	75	61
76	55,4	76	61
77	55,4	77	61
78	55,4	78	61
79	55,5	79	61
80	55,5	80	60
81	55,5	81	60
82	55,5	82	60
83	55,5	83	61
84	55,5	84	60
85	55,7	85	60
86	55,7	86	60
87	55,7	87	60
88	55,7	88	59
89	55,9	89	60
90	55,9	90	61
91	56	91	62
92	56	92	61
93	56,2	93	60
94	56,2	94	60
95	56,4	95	60
96	56,5	96	61
97	56,5	97	61
98	56,7	98	61
99	56,9	99	60
100	57	100	61
101	57	101	61
102	57,2	102	61
103	57,4	103	61
104	57,5	104	61
105	57,7	105	61
106	57,9	106	61
107	58	107	61
108	58,2	108	61
109	58,4	109	60
110	58,5	110	60
111	58,7	111	60
112	58,7	112	59
113	59	113	59
114	59	114	60
115	59,2	115	60
116	59,4	116	60
117	59,5	117	61
118	59,5	118	61
119	59,7	119	61
120	59,9	120	61
121	60	121	60
122	60,2	122	60
123	60,2	123	61
124	60,4	124	61
125	60,5	125	61
126	60,7	126	61
127	60,7	127	61
128	61	128	60
129	61	129	60
130	61,2	130	60
131	61,4	131	60
132	61,5	132	59
133	61,5	133	60
134	61,7	134	60
