Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
0	48,4	0	59			
1	48,4	1	59			
2	48,4	2	60			
3	48,4	3	60			
4	48,4	4	61			
5	48,4	5	61			
6	48,5	6	60			
7	48,5	7	60			
8	48,5	8	60			
9	48,5	9	60			
10	48,5	10	60			
11	48,5	11	59			
12	48,5	12	58			
13	48,5	13	59			
14	48,5	14	59			
15	48,5	15	60			
16	48,5	16	60			
17	48,5	17	59			
18	48,5	18	58			
19	48,5	19	60			
20	48,5	20	60			
21	48,7	21	60			
22	48,7	22	60			
23	48,7	23	60			
24	48,7	24	60			
25	48,7	25	60			121,8
26	48,7	26	60			
27	48,7	27	60			
28	48,7	28	59			
29	48,7	29	60			
30	48,7	30	60			
31	48,7	31	59			
32	48,7	32	60			
33	48,7	33	60			
34	48,7	34	59			
35	48,7	35	59			
36	48,7	36	59			
37	48,7	37	58			
38	48,7	38	59			
39	48,7	39	60			
40	48,7	40	61			
41	48,7	41	60			
42	48,7	42	60			
43	48,7	43	60			
44	48,7	44	60			
45	48,7	45	59			
46	48,7	46	59			
47	48,7	47	58			
48	48,7	48	59			
49	48,7	49	60			
50	48,7	50	60			
51	48,7	51	61			
52	48,7	52	60			
53	48,7	53	60			
54	48,7	54	60			
55	48,9	55	59			
56	48,7	56	59			
57	48,9	57	59			
58	48,9	58	60			
59	48,9	59	60			
60	48,9	60	60			
61	48,9	61	60			
62	48,9	62	60			
63	48,9	63	59			
64	48,9	64	60			
65	48,9	65	60			
66	48,9	66	60			
67	48,9	67	59			
68	48,9	68	60			
69	48,9	69	60			
70	48,9	70	60			
71	48,9	71	60			
72	48,9	72	61			
73	48,9	73	61			
74	48,9	74	60			
75	48,9	75	60			
76	48,7	76	60			
77	48,7	77	61			
78	48,7	78	61			
79	48,7	79	61			
80	48,7	80	60			
81	48,7	81	61			
82	48,7	82	60			
83	48,7	83	60			
84	48,7	84	60			
85	48,7	85	59			
86	48,7	86	60			
87	48,7	87	60			
88	48,7	88	60			
89	48,7	89	60			
90	48,7	90	60			
91	48,7	91	60			
92	48,7	92	60			
93	48,7	93	60			
94	48,7	94	60			
95	48,7	95	61			
96	48,7	96	61			
97	48,7	97	59			
98	48,7	98	59			
99	48,7	99	60			
100	48,7	100	60			
101	48,7	101	61			
102	48,7	102	60			
103	48,7	103	60			
104	48,7	104	60			
105	48,7	105	60			
106	48,7	106	60			
107	48,7	107	60			
108	48,7	108	59			
109	48,7	109	59			
110	48,7	110	59			
111	48,7	111	59			
112	48,7	112	60			
113	48,7	113	61			
114	48,7	114	61			
115	48,7	115	60			
116	48,7	116	60			
117	48,7	117	60			
118	48,7	118	61			
119	48,7	119	60			
120	48,7	120	59			
121	48,7	121	60			
122	48,7	122	60			
123	48,7	123	60			
124	48,7	124	59			
125	48,5	125	60			
126	48,5	126	60			
127	48,5	127	60			
128	48,5	128	60			
129	48,5	129	60			
130	48,5	130	60			
131	48,5	131	60			
132	48,7	132	60			
133	48,7	133	59			
134	48,7	134	59			
135	48,7	135	60			
136	48,7	136	60			
137	48,7	137	60			
138	48,7	138	60			
139	48,7	139	60			
140	48,7	140	60			
141	48,7	141	60			
142	48,7	142	59			
143	48,7	143	59			
144	48,7	144	60			
145	48,9	145	60			
146	48,9	146	60			
147	48,9	147	60			
148	48,9	148	59			
149	48,9	149	60			
150	48,9	150	59			
151	49	151	59			
152	49	152	60			
153	49	153	60			
154	49	154	60			
155	49	155	60			
156	49	156	60			
157	49	157	60			
158	49,2	158	60			
159	49,2	159	60			
160	49,2	160	60			
161	49,2	161	60			
162	49,2	162	61			
163	49,4	163	61			
164	49,4	164	60			
165	49,4	165	60			
166	49,5	166	59			
167	49,5	167	60			
168	49,5	168	60			
169	49,7	169	59			
170	49,7	170	59			
171	49,7	171	59			
172	49,7	172	59			
173	49,7	173	60			
174	49,9	174	60			
175	49,9	175	59			
176	50	176	60			
177	50	177	60			
178	50	178	60			
179	50	179	59			
180	50,2	180	61			
181	50,2	181	60			
182	50,2	182	59			
183	50,4	183	59			
184	50,4	184	59			
185	50,5	185	60			
186	50,5	186	60			
187	50,5	187	60			
