Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)
3006	121,8	3006	181
3007	121,8	3007	180
3008	121,8	3008	181
3009	121,8	3009	181
3010	121,8	3010	181
3011	121,8	3011	180
3012	121,8	3012	180
3013	121,8	3013	179
3014	121,8	3014	179
3015	121,8	3015	180
3016	121,8	3016	180
3017	121,8	3017	181
3018	121,8	3018	180
3019	121,8	3019	181
3020	121,8	3020	181
3021	121,8	3021	181
3022	121,8	3022	180
3023	121,8	3023	179
3024	121,8	3024	180
3025	121,8	3025	181
3026	121,8	3026	181
3027	121,8	3027	181
3028	121,8	3028	180
3029	121,8	3029	180
3030	121,8	3030	180
3031	121,8	3031	179
3032	121,8	3032	180
3033	121,8	3033	181
3034	121,8	3034	182
3035	121,8	3035	181
3036	121,8	3036	181
3037	121,8	3037	181
3038	121,8	3038	180
3039	121,8	3039	180
3040	121,6	3040	179
3041	121,8	3041	180
3042	121,8	3042	180
3043	121,6	3043	179
3044	121,6	3044	179
3045	121,6	3045	179
3046	121,6	3046	180
3047	121,6	3047	181
3048	121,6	3048	181
3049	121,6	3049	180
3050	121,6	3050	180
3051	121,6	3051	180
3052	121,6	3052	180
3053	121,6	3053	179
3054	121,6	3054	179
3055	121,6	3055	180
3056	121,8	3056	180
3057	121,6	3057	181
3058	121,8	3058	180
3059	121,8	3059	180
3060	121,8	3060	180
3061	121,8	3061	180
3062	121,8	3062	181
3063	121,8	3063	180
3064	121,8	3064	179
3065	121,8	3065	179
3066	121,8	3066	179
3067	121,8	3067	181
3068	121,8	3068	180
3069	121,8	3069	180
3070	121,8	3070	180
3071	121,8	3071	180
3072	121,8	3072	180
3073	121,8	3073	181
3074	121,8	3074	180
3075	121,8	3075	179
3076	121,8	3076	178
3077	121,8	3077	178
3078	121,6	3078	177
3079	121,6	3079	177
3080	121,6	3080	177
3081	121,6	3081	177
3082	121,5	3082	176
3083	121,5	3083	175
3084	121,5	3084	176
3085	121,5	3085	176
3086	121,4	3086	175
3087	121,4	3087	175
3088	121,3	3088	176
3089	121,3	3089	175
3090	121,1	3090	174
3091	121	3091	173
