Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
0	55,4	0	61						
1	55,4	1	62						
2	55,4	2	62						
3	55,4	3	62						
4	55,4	4	61						
5	55,5	5	62						
6	55,5	6	62						
7	55,5	7	62						
8	55,5	8	62						
9	55,7	9	61						
10	55,7	10	61						
11	55,9	11	61						
12	56	12	61						
13	56	13	61						121,8
14	56,2	14	62						
15	56,2	15	62						
16	56,4	16	61						
17	56,5	17	61						
18	56,7	18	61						
19	56,7	19	62						
20	57	20	61						
21	57	21	61						
22	57,2	22	61						
23	57,5	23	62						
24	57,5	24	61						
25	57,7	25	61						
26	57,9	26	62						
27	58	27	62						
28	58,2	28	62						
29	58,2	29	61						
30	58,5	30	61						
31	58,5	31	61						
32	58,7	32	61						
33	58,9	33	61						
34	59	34	62						
35	59,2	35	62						
36	59,2	36	62						
37	59,4	37	62						
38	59,5	38	62						
39	59,7	39	62						
40	59,7	40	62						
41	59,9	41	61						
42	60	42	61						
43	60,2	43	61						
44	60,2	44	62						
45	60,5	45	62						
46	60,5	46	61						
47	60,7	47	62						
48	60,7	48	62						
49	61	49	61						
50	61	50	61						
51	61,2	51	62						
52	61,4	52	62						
53	61,5	53	61						
54	61,5	54	61						
55	61,7	55	61						
56	61,9	56	61						
57	62	57	61						
58	62,2	58	61						
59	62,2	59	61						
60	62,4	60	60						
61	62,5	61	60						
62	62,7	62	60						
63	62,9	63	61						
64	63	64	62						
65	63	65	61						
66	63,2	66	62						
67	63,4	67	62						
68	63,5	68	61						
69	63,7	69	61						
70	63,7	70	60						
71	64	71	60						
72	64	72	61						
73	64,1	73	62						
74	64,3	74	61						
75	64,4	75	61						
76	64,5	76	61						
77	64,5	77	61						
78	64,6	78	61						
79	64,8	79	61						
80	65	80	61						
81	65	81	61						
82	65,1	82	61						
83	65,1	83	60						
84	65,3	84	61						
85	65,3	85	61						
86	65,4	86	61						
87	65,5	87	61						
88	65,5	88	60						
89	65,5	89	61						
90	65,6	90	60						
91	65,8	91	61						
92	65,9	92	61						
93	66	93	62						
94	66	94	62						
95	66	95	62						
96	66,1	96	61						
97	66,3	97	62						
98	66,3	98	62						
99	66,4	99	61						
100	66,5	100	61						
101	66,5	101	61						
102	66,6	102	60						
103	66,9	103	61						
104	67	104	61						
105	67	105	61						
106	67,1	106	62						
107	67,3	107	62						
108	67,4	108	62						
109	67,5	109	61						
110	67,5	110	60						
111	67,6	111	60						
112	67,8	112	61						
113	67,9	113	62						
114	68	114	62						
115	68	115	61						
116	68,1	116	61						
117	68,3	117	61						
118	68,4	118	61						
119	68,5	119	61						
120	68,5	120	61						
121	68,5	121	62						
122	68,5	122	61						
123	68,6	123	61						
124	68,8	124	62						
125	68,8	125	62						
126	68,9	126	63						
127	69	127	63						
128	69	128	62						
129	69	129	61						
130	69,1	130	61						
131	69,3	131	61						
132	69,4	132	62						
133	69,4	133	62						
134	69,5	134	62						
135	69,5	135	62						
136	69,5	136	62						
137	69,6	137	63						
138	69,6	138	63						
139	69,8	139	63						
140	69,8	140	63						
141	69,9	141	63						
142	70	142	63						
143	70	143	63						
144	70	144	62						
145	70	145	63						
146	70,1	146	63						
147	70,3	147	63						
148	70,4	148	63						
149	70,4	149	63						
150	70,5	150	63						
151	70,5	151	63						
152	70,6	152	62						
153	70,8	153	63						
154	70,8	154	63						
155	71	155	63						
156	71	156	63						
157	71,1	157	63						
158	71,3	158	63						
159	71,3	159	63						
160	71,4	160	63						
161	71,5	161	63						
162	71,6	162	63						
163	71,8	163	63						
164	71,9	164	64						
165	72	165	64						
166	72	166	65						
167	72,1	167	64						
168	72,3	168	63						
169	72,4	169	63						
170	72,5	170	63						
171	72,6	171	64						
172	72,8	172	64						
173	72,9	173	64						
174	73	174	65						
